Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.78           17.92                   1.08 , 0.88          940.03 , 809.00          147.84 , 184.00            1134.81 , 1126.00       35.85
   0.23            18.3                   1.07 , 0.86          931.33 , 809.00          144.48 , 184.00            1123.45 , 1126.00        36.6
   0.63           18.38                   1.08 , 0.87          940.03 , 809.00          146.16 , 184.00            1133.13 , 1126.00       36.76
   0.38           18.76                   1.07 , 0.85          931.33 , 809.00          142.80 , 184.00            1121.77 , 1126.00       37.51
   0.48           18.84                   1.08 , 0.86          940.03 , 809.00          144.48 , 184.00            1131.45 , 1126.00       37.68
   0.53           19.21                   1.07 , 0.84          931.33 , 809.00          141.12 , 184.00            1120.09 , 1126.00       38.43
   0.33           19.29                   1.08 , 0.85          940.03 , 809.00          142.80 , 184.00            1129.77 , 1126.00       38.59
   0.67           19.67                   1.07 , 0.83          931.33 , 809.00          139.44 , 184.00            1118.41 , 1126.00       39.34
   0.19           19.75                   1.08 , 0.84          940.03 , 809.00          141.12 , 184.00            1128.09 , 1126.00        39.5
   0.82           20.13                   1.07 , 0.82          931.33 , 809.00          137.76 , 184.00            1116.73 , 1126.00       40.25
   0.04           20.21                   1.08 , 0.83          940.03 , 809.00          139.44 , 184.00            1126.41 , 1126.00       40.41
   0.98           20.29                   1.09 , 0.84          948.74 , 809.00          141.12 , 184.00            1137.09 , 1126.00       40.58
   0.97           20.58                   1.07 , 0.81          931.33 , 809.00          136.08 , 184.00            1115.05 , 1126.00       41.16
   0.11           20.66                   1.08 , 0.82          940.03 , 809.00          137.76 , 184.00            1124.73 , 1126.00       41.33
   0.84           20.75                   1.09 , 0.83          948.74 , 809.00          139.44 , 184.00            1135.41 , 1126.00       41.49
   0.26           21.12                   1.08 , 0.81          940.03 , 809.00          136.08 , 184.00            1123.05 , 1126.00       42.24
   0.69            21.2                   1.09 , 0.82          948.74 , 809.00          137.76 , 184.00            1133.73 , 1126.00        42.4
   0.41           21.58                   1.08 , 0.80          940.03 , 809.00          134.40 , 184.00            1121.37 , 1126.00       43.15
   0.54           21.66                   1.09 , 0.81          948.74 , 809.00          136.08 , 184.00            1132.05 , 1126.00       43.32
   0.39           22.11                   1.09 , 0.80          948.74 , 809.00          134.40 , 184.00            1130.37 , 1126.00       44.23
