Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.83            8.29                   0.92 , 0.85        1601.54 , 1638.00          571.20 , 667.00            2218.45 , 2237.00       16.59
   0.89            8.67                   0.95 , 0.83        1653.76 , 1638.00          557.76 , 667.00            2257.01 , 2237.00       17.34
   0.33            8.73                   0.85 , 1.07        1479.68 , 1638.00          719.04 , 667.00            2244.29 , 2237.00       17.47
   0.17            8.74                   0.94 , 0.82        1636.35 , 1638.00          551.04 , 667.00            2233.29 , 2237.00       17.49
   0.73            8.76                   0.84 , 1.06        1462.27 , 1638.00          712.32 , 667.00            2220.57 , 2237.00       17.52
   0.67            8.77                   0.93 , 0.83        1618.94 , 1638.00          557.76 , 667.00            2222.01 , 2237.00       17.54
   0.59            9.17                   0.95 , 0.82        1653.76 , 1638.00          551.04 , 667.00            2250.29 , 2237.00       18.35
   0.63            9.24                   0.85 , 1.08        1479.68 , 1638.00          725.76 , 667.00            2251.01 , 2237.00       18.48
   0.47            9.25                   0.94 , 0.81        1636.35 , 1638.00          544.32 , 667.00            2226.57 , 2237.00       18.49
   0.43            9.27                   0.84 , 1.07        1462.27 , 1638.00          719.04 , 667.00            2227.29 , 2237.00       18.53
   0.97            9.27                   0.93 , 0.82        1618.94 , 1638.00          551.04 , 667.00            2215.29 , 2237.00       18.55
   0.29            9.68                   0.95 , 0.81        1653.76 , 1638.00          544.32 , 667.00            2243.57 , 2237.00       19.35
   0.93            9.74                   0.85 , 1.09        1479.68 , 1638.00          732.48 , 667.00            2257.73 , 2237.00       19.48
   0.77            9.75                   0.94 , 0.80        1636.35 , 1638.00          537.60 , 667.00            2219.85 , 2237.00        19.5
   0.13            9.77                   0.84 , 1.08        1462.27 , 1638.00          725.76 , 667.00            2234.01 , 2237.00       19.54
   0.01           10.18                   0.95 , 0.80        1653.76 , 1638.00          537.60 , 667.00            2236.85 , 2237.00       20.36
   0.17           10.27                   0.84 , 1.09        1462.27 , 1638.00          732.48 , 667.00            2240.73 , 2237.00       20.55
   0.94            10.3                   0.83 , 1.08        1444.86 , 1638.00          725.76 , 667.00            2216.01 , 2237.00        20.6
    0.8           10.71                   0.96 , 0.80        1671.17 , 1638.00          537.60 , 667.00            2254.85 , 2237.00       21.43
   0.47           10.78                   0.84 , 1.10        1462.27 , 1638.00          739.20 , 667.00            2247.45 , 2237.00       21.55
   0.64            10.8                   0.83 , 1.09        1444.86 , 1638.00          732.48 , 667.00            2222.73 , 2237.00       21.61
   0.77           11.28                   0.84 , 1.11        1462.27 , 1638.00          745.92 , 667.00            2254.17 , 2237.00       22.56
   0.34           11.31                   0.83 , 1.10        1444.86 , 1638.00          739.20 , 667.00            2229.45 , 2237.00       22.62
   0.04           11.81                   0.83 , 1.11        1444.86 , 1638.00          745.92 , 667.00            2236.17 , 2237.00       23.62
   0.26           12.32                   0.83 , 1.12        1444.86 , 1638.00          752.64 , 667.00            2242.89 , 2237.00       24.63
    0.8           12.34                   0.82 , 1.11        1427.46 , 1638.00          745.92 , 667.00            2219.17 , 2237.00       24.69
   0.56           12.82                   0.83 , 1.13        1444.86 , 1638.00          759.36 , 667.00            2249.61 , 2237.00       25.64
    0.5           12.85                   0.82 , 1.12        1427.46 , 1638.00          752.64 , 667.00            2225.89 , 2237.00       25.69
   0.86           13.32                   0.83 , 1.14        1444.86 , 1638.00          766.08 , 667.00            2256.33 , 2237.00       26.65
    0.2           13.35                   0.82 , 1.13        1427.46 , 1638.00          759.36 , 667.00            2232.61 , 2237.00        26.7
    0.1           13.85                   0.82 , 1.14        1427.46 , 1638.00          766.08 , 667.00            2239.33 , 2237.00       27.71
    0.4           14.36                   0.82 , 1.15        1427.46 , 1638.00          772.80 , 667.00            2246.05 , 2237.00       28.72
    0.7           14.39                   0.81 , 1.14        1410.05 , 1638.00          766.08 , 667.00            2221.33 , 2237.00       28.77
   0.71           14.86                   0.82 , 1.16        1427.46 , 1638.00          779.52 , 667.00            2252.77 , 2237.00       29.72
    0.4           14.89                   0.81 , 1.15        1410.05 , 1638.00          772.80 , 667.00            2228.05 , 2237.00       29.78
    0.1           15.39                   0.81 , 1.16        1410.05 , 1638.00          779.52 , 667.00            2234.77 , 2237.00       30.79
    0.2            15.9                   0.81 , 1.17        1410.05 , 1638.00          786.24 , 667.00            2241.49 , 2237.00       31.79
   0.86           15.92                   0.80 , 1.16        1392.64 , 1638.00          779.52 , 667.00            2217.77 , 2237.00       31.85
    0.5            16.4                   0.81 , 1.18        1410.05 , 1638.00          792.96 , 667.00            2248.21 , 2237.00        32.8
   0.56           16.43                   0.80 , 1.17        1392.64 , 1638.00          786.24 , 667.00            2224.49 , 2237.00       32.86
    0.8            16.9                   0.81 , 1.19        1410.05 , 1638.00          799.68 , 667.00            2254.93 , 2237.00       33.81
   0.26           16.93                   0.80 , 1.18        1392.64 , 1638.00          792.96 , 667.00            2231.21 , 2237.00       33.86
   0.04           17.44                   0.80 , 1.19        1392.64 , 1638.00          799.68 , 667.00            2237.93 , 2237.00       34.87
