Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.42            9.67                   0.89 , 1.11          774.66 , 833.00          745.92 , 664.00            1568.51 , 1562.00       19.34
   0.59            9.69                   0.88 , 1.10          765.95 , 833.00          739.20 , 664.00            1552.79 , 1562.00       19.37
   0.15            9.82                   1.05 , 0.89          913.92 , 833.00          598.08 , 664.00            1559.67 , 1562.00       19.64
   0.86            9.84                   1.06 , 0.90          922.62 , 833.00          604.80 , 664.00            1575.39 , 1562.00       19.67
   0.85           10.18                   0.89 , 1.12          774.66 , 833.00          752.64 , 664.00            1575.23 , 1562.00       20.35
   0.16           10.19                   0.88 , 1.11          765.95 , 833.00          745.92 , 664.00            1559.51 , 1562.00       20.39
   0.58           10.33                   1.05 , 0.88          913.92 , 833.00          591.36 , 664.00            1552.95 , 1562.00       20.65
   0.43           10.34                   1.06 , 0.89          922.62 , 833.00          598.08 , 664.00            1568.67 , 1562.00       20.69
   0.27            10.7                   0.88 , 1.12          765.95 , 833.00          752.64 , 664.00            1566.23 , 1562.00        21.4
   0.67           10.72                   0.87 , 1.11          757.25 , 833.00          745.92 , 664.00            1551.51 , 1562.00       21.43
    0.0           10.85                   1.06 , 0.88          922.62 , 833.00          591.36 , 664.00            1561.95 , 1562.00        21.7
    0.7           11.21                   0.88 , 1.13          765.95 , 833.00          759.36 , 664.00            1572.95 , 1562.00       22.41
   0.24           11.22                   0.87 , 1.12          757.25 , 833.00          752.64 , 664.00            1558.23 , 1562.00       22.44
   0.43           11.36                   1.06 , 0.87          922.62 , 833.00          584.64 , 664.00            1555.23 , 1562.00       22.71
   0.57           11.37                   1.07 , 0.88          931.33 , 833.00          591.36 , 664.00            1570.95 , 1562.00       22.74
   0.19           11.73                   0.87 , 1.13          757.25 , 833.00          759.36 , 664.00            1564.95 , 1562.00       23.46
   0.82           11.74                   0.86 , 1.12          748.54 , 833.00          752.64 , 664.00            1549.23 , 1562.00       23.49
   0.86           11.86                   1.06 , 0.86          922.62 , 833.00          577.92 , 664.00            1548.51 , 1562.00       23.72
   0.14           11.88                   1.07 , 0.87          931.33 , 833.00          584.64 , 664.00            1564.23 , 1562.00       23.76
   0.62           12.23                   0.87 , 1.14          757.25 , 833.00          766.08 , 664.00            1571.67 , 1562.00       24.47
   0.39           12.25                   0.86 , 1.13          748.54 , 833.00          759.36 , 664.00            1555.95 , 1562.00        24.5
   0.29           12.38                   1.07 , 0.86          931.33 , 833.00          577.92 , 664.00            1557.51 , 1562.00       24.77
   0.66            12.4                   1.08 , 0.87          940.03 , 833.00          584.64 , 664.00            1572.23 , 1562.00        24.8
   0.04           12.76                   0.86 , 1.14          748.54 , 833.00          766.08 , 664.00            1562.67 , 1562.00       25.51
   0.96           12.77                   0.85 , 1.13          739.84 , 833.00          759.36 , 664.00            1546.95 , 1562.00       25.55
   0.72           12.89                   1.07 , 0.85          931.33 , 833.00          571.20 , 664.00            1550.79 , 1562.00       25.78
   0.22           12.91                   1.08 , 0.86          940.03 , 833.00          577.92 , 664.00            1565.51 , 1562.00       25.81
   0.47           13.26                   0.86 , 1.15          748.54 , 833.00          772.80 , 664.00            1569.39 , 1562.00       26.52
   0.53           13.28                   0.85 , 1.14          739.84 , 833.00          766.08 , 664.00            1553.67 , 1562.00       26.56
   0.21           13.41                   1.08 , 0.85          940.03 , 833.00          571.20 , 664.00            1558.79 , 1562.00       26.82
    0.8           13.43                   1.09 , 0.86          948.74 , 833.00          577.92 , 664.00            1574.51 , 1562.00       26.86
    0.9           13.77                   0.86 , 1.16          748.54 , 833.00          779.52 , 664.00            1576.11 , 1562.00       27.54
    0.1           13.78                   0.85 , 1.15          739.84 , 833.00          772.80 , 664.00            1560.39 , 1562.00       27.57
   0.64           13.92                   1.08 , 0.84          940.03 , 833.00          564.48 , 664.00            1552.07 , 1562.00       27.84
   0.37           13.93                   1.09 , 0.85          948.74 , 833.00          571.20 , 664.00            1567.79 , 1562.00       27.87
   0.33           14.29                   0.85 , 1.16          739.84 , 833.00          779.52 , 664.00            1567.11 , 1562.00       28.58
   0.62           14.31                   0.84 , 1.15          731.14 , 833.00          772.80 , 664.00            1552.39 , 1562.00       28.61
   0.06           14.44                   1.09 , 0.84          948.74 , 833.00          564.48 , 664.00            1561.07 , 1562.00       28.88
   0.95           14.46                   1.10 , 0.85          957.44 , 833.00          571.20 , 664.00            1576.79 , 1562.00       28.91
   0.76            14.8                   0.85 , 1.17          739.84 , 833.00          786.24 , 664.00            1573.83 , 1562.00       29.59
   0.18           14.81                   0.84 , 1.16          731.14 , 833.00          779.52 , 664.00            1559.11 , 1562.00       29.63
   0.49           14.95                   1.09 , 0.83          948.74 , 833.00          557.76 , 664.00            1554.35 , 1562.00       29.89
   0.52           14.96                   1.10 , 0.84          957.44 , 833.00          564.48 , 664.00            1570.07 , 1562.00       29.93
   0.25           15.32                   0.84 , 1.17          731.14 , 833.00          786.24 , 664.00            1565.83 , 1562.00       30.64
   0.76           15.34                   0.83 , 1.16          722.43 , 833.00          779.52 , 664.00            1550.11 , 1562.00       30.67
   0.92           15.45                   1.09 , 0.82          948.74 , 833.00          551.04 , 664.00            1547.63 , 1562.00       30.91
   0.09           15.47                   1.10 , 0.83          957.44 , 833.00          557.76 , 664.00            1563.35 , 1562.00       30.94
   0.68           15.83                   0.84 , 1.18          731.14 , 833.00          792.96 , 664.00            1572.55 , 1562.00       31.65
   0.33           15.84                   0.83 , 1.17          722.43 , 833.00          786.24 , 664.00            1556.83 , 1562.00       31.68
   0.34           15.98                   1.10 , 0.82          957.44 , 833.00          551.04 , 664.00            1556.63 , 1562.00       31.95
   0.66           15.99                   1.11 , 0.83          966.14 , 833.00          557.76 , 664.00            1572.35 , 1562.00       31.98
    0.1           16.35                   0.83 , 1.18          722.43 , 833.00          792.96 , 664.00            1563.55 , 1562.00        32.7
   0.91           16.36                   0.82 , 1.17          713.73 , 833.00          786.24 , 664.00            1547.83 , 1562.00       32.73
   0.77           16.48                   1.10 , 0.81          957.44 , 833.00          544.32 , 664.00            1549.91 , 1562.00       32.96
   0.23            16.5                   1.11 , 0.82          966.14 , 833.00          551.04 , 664.00            1565.63 , 1562.00        33.0
   0.53           16.85                   0.83 , 1.19          722.43 , 833.00          799.68 , 664.00            1570.27 , 1562.00       33.71
   0.48           16.87                   0.82 , 1.18          713.73 , 833.00          792.96 , 664.00            1554.55 , 1562.00       33.74
    0.2            17.0                   1.11 , 0.81          966.14 , 833.00          544.32 , 664.00            1558.91 , 1562.00       34.01
   0.74           17.02                   1.12 , 0.82          974.85 , 833.00          551.04 , 664.00            1573.63 , 1562.00       34.04
   0.05           17.38                   0.82 , 1.19          713.73 , 833.00          799.68 , 664.00            1561.27 , 1562.00       34.75
   0.63           17.51                   1.11 , 0.80          966.14 , 833.00          537.60 , 664.00            1552.19 , 1562.00       35.02
   0.31           17.53                   1.12 , 0.81          974.85 , 833.00          544.32 , 664.00            1566.91 , 1562.00       35.05
   0.62            17.9                   0.81 , 1.19          705.02 , 833.00          799.68 , 664.00            1552.27 , 1562.00        35.8
   0.12           18.03                   1.12 , 0.80          974.85 , 833.00          537.60 , 664.00            1560.19 , 1562.00       36.06
   0.89           18.05                   1.13 , 0.81          983.55 , 833.00          544.32 , 664.00            1575.91 , 1562.00        36.1
   0.46           18.55                   1.13 , 0.80          983.55 , 833.00          537.60 , 664.00            1569.19 , 1562.00       37.11
