Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.69           33.37                   0.93 , 1.04         1618.94 , 998.00          174.72 , 183.00            1838.19 , 1851.00       66.74
   0.22           33.44                   0.93 , 1.14         1618.94 , 998.00          191.52 , 183.00            1854.99 , 1851.00       66.87
   0.52           33.48                   0.92 , 1.16         1601.54 , 998.00          194.88 , 183.00            1841.35 , 1851.00       66.97
   0.37           33.78                   0.94 , 1.05         1636.35 , 998.00          176.40 , 183.00            1857.87 , 1851.00       67.57
   0.78           33.83                   0.93 , 1.03         1618.94 , 998.00          173.04 , 183.00            1836.51 , 1851.00       67.66
   0.31            33.9                   0.93 , 1.15         1618.94 , 998.00          193.20 , 183.00            1856.67 , 1851.00       67.79
   0.43           33.94                   0.92 , 1.17         1601.54 , 998.00          196.56 , 183.00            1843.03 , 1851.00       67.88
   0.28           34.24                   0.94 , 1.04         1636.35 , 998.00          174.72 , 183.00            1856.19 , 1851.00       68.49
   0.87           34.29                   0.93 , 1.02         1618.94 , 998.00          171.36 , 183.00            1834.83 , 1851.00       68.58
    0.4           34.36                   0.93 , 1.16         1618.94 , 998.00          194.88 , 183.00            1858.35 , 1851.00       68.71
   0.34            34.4                   0.92 , 1.18         1601.54 , 998.00          198.24 , 183.00            1844.71 , 1851.00        68.8
   0.19            34.7                   0.94 , 1.03         1636.35 , 998.00          173.04 , 183.00            1854.51 , 1851.00       69.41
   0.96           34.75                   0.93 , 1.01         1618.94 , 998.00          169.68 , 183.00            1833.15 , 1851.00        69.5
   0.49           34.81                   0.93 , 1.17         1618.94 , 998.00          196.56 , 183.00            1860.03 , 1851.00       69.63
   0.25           34.86                   0.92 , 1.19         1601.54 , 998.00          199.92 , 183.00            1846.39 , 1851.00       69.72
    0.1           35.16                   0.94 , 1.02         1636.35 , 998.00          171.36 , 183.00            1852.83 , 1851.00       70.32
   0.58           35.27                   0.93 , 1.18         1618.94 , 998.00          198.24 , 183.00            1861.71 , 1851.00       70.55
   0.01           35.62                   0.94 , 1.01         1636.35 , 998.00          169.68 , 183.00            1851.15 , 1851.00       71.24
   0.67           35.73                   0.93 , 1.19         1618.94 , 998.00          199.92 , 183.00            1863.39 , 1851.00       71.46
   0.08           36.08                   0.94 , 1.00         1636.35 , 998.00          168.00 , 183.00            1849.47 , 1851.00       72.16
   0.93           36.49                   0.95 , 1.01         1653.76 , 998.00          169.68 , 183.00            1868.15 , 1851.00       72.99
   0.17           36.54                   0.94 , 0.99         1636.35 , 998.00          166.32 , 183.00            1847.79 , 1851.00       73.08
   0.84           36.95                   0.95 , 1.00         1653.76 , 998.00          168.00 , 183.00            1866.47 , 1851.00        73.9
   0.26            37.0                   0.94 , 0.98         1636.35 , 998.00          164.64 , 183.00            1846.11 , 1851.00        74.0
   0.74           37.41                   0.95 , 0.99         1653.76 , 998.00          166.32 , 183.00            1864.79 , 1851.00       74.82
   0.36           37.46                   0.94 , 0.97         1636.35 , 998.00          162.96 , 183.00            1844.43 , 1851.00       74.91
   0.65           37.87                   0.95 , 0.98         1653.76 , 998.00          164.64 , 183.00            1863.11 , 1851.00       75.74
   0.45           37.92                   0.94 , 0.96         1636.35 , 998.00          161.28 , 183.00            1842.75 , 1851.00       75.83
   0.56           38.33                   0.95 , 0.97         1653.76 , 998.00          162.96 , 183.00            1861.43 , 1851.00       76.66
   0.54           38.38                   0.94 , 0.95         1636.35 , 998.00          159.60 , 183.00            1841.07 , 1851.00       76.75
   0.47           38.79                   0.95 , 0.96         1653.76 , 998.00          161.28 , 183.00            1859.75 , 1851.00       77.58
   0.63           38.83                   0.94 , 0.94         1636.35 , 998.00          157.92 , 183.00            1839.39 , 1851.00       77.67
   0.38           39.25                   0.95 , 0.95         1653.76 , 998.00          159.60 , 183.00            1858.07 , 1851.00       78.49
   0.72           39.29                   0.94 , 0.93         1636.35 , 998.00          156.24 , 183.00            1837.71 , 1851.00       78.59
   0.29           39.71                   0.95 , 0.94         1653.76 , 998.00          157.92 , 183.00            1856.39 , 1851.00       79.41
   0.81           39.75                   0.94 , 0.92         1636.35 , 998.00          154.56 , 183.00            1836.03 , 1851.00        79.5
    0.2           40.17                   0.95 , 0.93         1653.76 , 998.00          156.24 , 183.00            1854.71 , 1851.00       80.33
    0.9           40.21                   0.94 , 0.91         1636.35 , 998.00          152.88 , 183.00            1834.35 , 1851.00       80.42
   0.11           40.62                   0.95 , 0.92         1653.76 , 998.00          154.56 , 183.00            1853.03 , 1851.00       81.25
   0.99           40.67                   0.94 , 0.90         1636.35 , 998.00          151.20 , 183.00            1832.67 , 1851.00       81.34
   0.02           41.08                   0.95 , 0.91         1653.76 , 998.00          152.88 , 183.00            1851.35 , 1851.00       82.17
   0.07           41.54                   0.95 , 0.90         1653.76 , 998.00          151.20 , 183.00            1849.67 , 1851.00       83.08
   0.99           41.96                   0.96 , 0.91         1671.17 , 998.00          152.88 , 183.00            1869.35 , 1851.00       83.91
   0.16            42.0                   0.95 , 0.89         1653.76 , 998.00          149.52 , 183.00            1847.99 , 1851.00        84.0
    0.9           42.41                   0.96 , 0.90         1671.17 , 998.00          151.20 , 183.00            1867.67 , 1851.00       84.83
   0.25           42.46                   0.95 , 0.88         1653.76 , 998.00          147.84 , 183.00            1846.31 , 1851.00       84.92
   0.81           42.87                   0.96 , 0.89         1671.17 , 998.00          149.52 , 183.00            1865.99 , 1851.00       85.75
   0.34           42.92                   0.95 , 0.87         1653.76 , 998.00          146.16 , 183.00            1844.63 , 1851.00       85.84
   0.72           43.33                   0.96 , 0.88         1671.17 , 998.00          147.84 , 183.00            1864.31 , 1851.00       86.66
   0.43           43.38                   0.95 , 0.86         1653.76 , 998.00          144.48 , 183.00            1842.95 , 1851.00       86.76
   0.63           43.79                   0.96 , 0.87         1671.17 , 998.00          146.16 , 183.00            1862.63 , 1851.00       87.58
   0.53           43.84                   0.95 , 0.85         1653.76 , 998.00          142.80 , 183.00            1841.27 , 1851.00       87.67
   0.54           44.25                   0.96 , 0.86         1671.17 , 998.00          144.48 , 183.00            1860.95 , 1851.00        88.5
   0.62            44.3                   0.95 , 0.84         1653.76 , 998.00          141.12 , 183.00            1839.59 , 1851.00       88.59
   0.45           44.71                   0.96 , 0.85         1671.17 , 998.00          142.80 , 183.00            1859.27 , 1851.00       89.42
   0.71           44.76                   0.95 , 0.83         1653.76 , 998.00          139.44 , 183.00            1837.91 , 1851.00       89.51
   0.36           45.17                   0.96 , 0.84         1671.17 , 998.00          141.12 , 183.00            1857.59 , 1851.00       90.34
    0.8           45.21                   0.95 , 0.82         1653.76 , 998.00          137.76 , 183.00            1836.23 , 1851.00       90.43
   0.27           45.63                   0.96 , 0.83         1671.17 , 998.00          139.44 , 183.00            1855.91 , 1851.00       91.25
   0.89           45.67                   0.95 , 0.81         1653.76 , 998.00          136.08 , 183.00            1834.55 , 1851.00       91.35
   0.17           46.09                   0.96 , 0.82         1671.17 , 998.00          137.76 , 183.00            1854.23 , 1851.00       92.17
   0.98           46.13                   0.95 , 0.80         1653.76 , 998.00          134.40 , 183.00            1832.87 , 1851.00       92.26
   0.08           46.55                   0.96 , 0.81         1671.17 , 998.00          136.08 , 183.00            1852.55 , 1851.00       93.09
   0.01            47.0                   0.96 , 0.80         1671.17 , 998.00          134.40 , 183.00            1850.87 , 1851.00       94.01
   0.91           47.88                   0.97 , 0.80         1688.58 , 998.00          134.40 , 183.00            1867.87 , 1851.00       95.75
