Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.44            4.82                   0.97 , 1.08          422.14 , 432.00          362.88 , 338.00              836.66 , 833.00        9.64
   0.56            4.83                   0.96 , 1.07          417.79 , 432.00          359.52 , 338.00              828.30 , 833.00        9.66
   0.32            5.17                   1.05 , 0.96          456.96 , 432.00          322.56 , 338.00              830.34 , 833.00       10.35
   0.68            5.18                   1.06 , 0.97          461.31 , 432.00          325.92 , 338.00              838.70 , 833.00       10.36
   0.16            5.32                   0.96 , 1.08          417.79 , 432.00          362.88 , 338.00              831.66 , 833.00       10.65
   0.84            5.32                   0.97 , 1.09          422.14 , 432.00          366.24 , 338.00              840.02 , 833.00       10.64
   0.72            5.67                   1.05 , 0.95          456.96 , 432.00          319.20 , 338.00              826.98 , 833.00       11.34
   0.28            5.68                   1.06 , 0.96          461.31 , 432.00          322.56 , 338.00              835.34 , 833.00       11.35
   0.24            5.82                   0.96 , 1.09          417.79 , 432.00          366.24 , 338.00              835.02 , 833.00       11.64
   0.64            5.83                   0.95 , 1.08          413.44 , 432.00          362.88 , 338.00              827.66 , 833.00       11.66
   0.12            6.17                   1.06 , 0.95          461.31 , 432.00          319.20 , 338.00              831.98 , 833.00       12.35
   0.76            6.18                   1.07 , 0.96          465.66 , 432.00          322.56 , 338.00              839.34 , 833.00       12.36
   0.65            6.32                   0.96 , 1.10          417.79 , 432.00          369.60 , 338.00              838.38 , 833.00       12.64
   0.24            6.33                   0.95 , 1.09          413.44 , 432.00          366.24 , 338.00              831.02 , 833.00       12.65
   0.53            6.67                   1.06 , 0.94          461.31 , 432.00          315.84 , 338.00              828.62 , 833.00       13.34
   0.36            6.68                   1.07 , 0.95          465.66 , 432.00          319.20 , 338.00              835.98 , 833.00       13.35
   0.17            6.82                   0.95 , 1.10          413.44 , 432.00          369.60 , 338.00              834.38 , 833.00       13.65
   0.72            6.83                   0.94 , 1.09          409.09 , 432.00          366.24 , 338.00              827.02 , 833.00       13.66
   0.93            7.17                   1.06 , 0.93          461.31 , 432.00          312.48 , 338.00              825.26 , 833.00       14.34
   0.05            7.17                   1.07 , 0.94          465.66 , 432.00          315.84 , 338.00              832.62 , 833.00       14.35
   0.84            7.18                   1.08 , 0.95          470.02 , 432.00          319.20 , 338.00              839.98 , 833.00       14.36
   0.57            7.32                   0.95 , 1.11          413.44 , 432.00          372.96 , 338.00              837.74 , 833.00       14.64
   0.31            7.33                   0.94 , 1.10          409.09 , 432.00          369.60 , 338.00              830.38 , 833.00       14.65
   0.45            7.67                   1.07 , 0.93          465.66 , 432.00          312.48 , 338.00              829.26 , 833.00       15.34
   0.44            7.68                   1.08 , 0.94          470.02 , 432.00          315.84 , 338.00              836.62 , 833.00       15.36
   0.09            7.82                   0.94 , 1.11          409.09 , 432.00          372.96 , 338.00              833.74 , 833.00       15.65
   0.97            7.82                   0.95 , 1.12          413.44 , 432.00          376.32 , 338.00              841.10 , 833.00       15.63
   0.91            7.83                   0.93 , 1.10          404.74 , 432.00          369.60 , 338.00              825.38 , 833.00       15.66
   0.85            8.17                   1.07 , 0.92          465.66 , 432.00          309.12 , 338.00              825.90 , 833.00       16.34
   0.03            8.18                   1.08 , 0.93          470.02 , 432.00          312.48 , 338.00              833.26 , 833.00       16.35
   0.49            8.32                   0.94 , 1.12          409.09 , 432.00          376.32 , 338.00              837.10 , 833.00       16.64
   0.51            8.33                   0.93 , 1.11          404.74 , 432.00          372.96 , 338.00              828.74 , 833.00       16.65
   0.37            8.67                   1.08 , 0.92          470.02 , 432.00          309.12 , 338.00              829.90 , 833.00       17.34
   0.63            8.68                   1.09 , 0.93          474.37 , 432.00          312.48 , 338.00              838.26 , 833.00       17.36
   0.11            8.82                   0.93 , 1.12          404.74 , 432.00          376.32 , 338.00              832.10 , 833.00       17.65
    0.9            8.82                   0.94 , 1.13          409.09 , 432.00          379.68 , 338.00              840.46 , 833.00       17.64
   0.99            8.83                   0.92 , 1.11          400.38 , 432.00          372.96 , 338.00              824.74 , 833.00       17.66
   0.78            9.17                   1.08 , 0.91          470.02 , 432.00          305.76 , 338.00              826.54 , 833.00       18.34
   0.23            9.18                   1.09 , 0.92          474.37 , 432.00          309.12 , 338.00              834.90 , 833.00       18.35
    0.3            9.32                   0.93 , 1.13          404.74 , 432.00          379.68 , 338.00              835.46 , 833.00       18.64
   0.59            9.33                   0.92 , 1.12          400.38 , 432.00          376.32 , 338.00              828.10 , 833.00       18.66
   0.17            9.67                   1.09 , 0.91          474.37 , 432.00          305.76 , 338.00              831.54 , 833.00       19.35
   0.71            9.68                   1.10 , 0.92          478.72 , 432.00          309.12 , 338.00              838.90 , 833.00       19.36
   0.18            9.82                   0.92 , 1.13          400.38 , 432.00          379.68 , 338.00              831.46 , 833.00       19.65
    0.7            9.82                   0.93 , 1.14          404.74 , 432.00          383.04 , 338.00              838.82 , 833.00       19.64
   0.58           10.17                   1.09 , 0.90          474.37 , 432.00          302.40 , 338.00              828.18 , 833.00       20.34
   0.31           10.18                   1.10 , 0.91          478.72 , 432.00          305.76 , 338.00              835.54 , 833.00       20.35
   0.22           10.32                   0.92 , 1.14          400.38 , 432.00          383.04 , 338.00              834.82 , 833.00       20.64
   0.78           10.33                   0.91 , 1.13          396.03 , 432.00          379.68 , 338.00              826.46 , 833.00       20.66
   0.98           10.67                   1.09 , 0.89          474.37 , 432.00          299.04 , 338.00              824.82 , 833.00       21.33
    0.1           10.67                   1.10 , 0.90          478.72 , 432.00          302.40 , 338.00              832.18 , 833.00       21.35
   0.91           10.68                   1.11 , 0.91          483.07 , 432.00          305.76 , 338.00              840.54 , 833.00       21.36
   0.62           10.82                   0.92 , 1.15          400.38 , 432.00          386.40 , 338.00              838.18 , 833.00       21.64
   0.38           10.83                   0.91 , 1.14          396.03 , 432.00          383.04 , 338.00              829.82 , 833.00       21.65
    0.5           11.17                   1.10 , 0.89          478.72 , 432.00          299.04 , 338.00              828.82 , 833.00       22.34
    0.5           11.18                   1.11 , 0.90          483.07 , 432.00          302.40 , 338.00              837.18 , 833.00       22.35
   0.02           11.32                   0.91 , 1.15          396.03 , 432.00          386.40 , 338.00              833.18 , 833.00       22.65
   0.86           11.33                   0.90 , 1.14          391.68 , 432.00          383.04 , 338.00              825.82 , 833.00       22.66
    0.9           11.67                   1.10 , 0.88          478.72 , 432.00          295.68 , 338.00              825.46 , 833.00       23.34
    0.1           11.67                   1.11 , 0.89          483.07 , 432.00          299.04 , 338.00              833.82 , 833.00       23.35
   0.98           11.68                   1.12 , 0.90          487.42 , 432.00          302.40 , 338.00              841.18 , 833.00       23.36
   0.43           11.82                   0.91 , 1.16          396.03 , 432.00          389.76 , 338.00              836.54 , 833.00       23.64
   0.46           11.83                   0.90 , 1.15          391.68 , 432.00          386.40 , 338.00              829.18 , 833.00       23.65
    0.3           12.17                   1.11 , 0.88          483.07 , 432.00          295.68 , 338.00              830.46 , 833.00       24.34
   0.58           12.18                   1.12 , 0.89          487.42 , 432.00          299.04 , 338.00              837.82 , 833.00       24.36
   0.05           12.32                   0.90 , 1.16          391.68 , 432.00          389.76 , 338.00              832.54 , 833.00       24.65
   0.83           12.32                   0.91 , 1.17          396.03 , 432.00          393.12 , 338.00              839.90 , 833.00       24.63
   0.94           12.33                   0.89 , 1.15          387.33 , 432.00          386.40 , 338.00              825.18 , 833.00       24.66
   0.71           12.67                   1.11 , 0.87          483.07 , 432.00          292.32 , 338.00              827.10 , 833.00       25.34
   0.18           12.68                   1.12 , 0.88          487.42 , 432.00          295.68 , 338.00              834.46 , 833.00       25.35
   0.35           12.82                   0.90 , 1.17          391.68 , 432.00          393.12 , 338.00              835.90 , 833.00       25.64
   0.53           12.83                   0.89 , 1.16          387.33 , 432.00          389.76 , 338.00              828.54 , 833.00       25.65
   0.23           13.17                   1.12 , 0.87          487.42 , 432.00          292.32 , 338.00              831.10 , 833.00       26.34
   0.66           13.18                   1.13 , 0.88          491.78 , 432.00          295.68 , 338.00              838.46 , 833.00       26.36
   0.13           13.32                   0.89 , 1.17          387.33 , 432.00          393.12 , 338.00              831.90 , 833.00       26.65
   0.75           13.32                   0.90 , 1.18          391.68 , 432.00          396.48 , 338.00              839.26 , 833.00       26.64
   0.63           13.67                   1.12 , 0.86          487.42 , 432.00          288.96 , 338.00              827.74 , 833.00       27.34
   0.25           13.68                   1.13 , 0.87          491.78 , 432.00          292.32 , 338.00              835.10 , 833.00       27.35
   0.27           13.82                   0.89 , 1.18          387.33 , 432.00          396.48 , 338.00              835.26 , 833.00       27.64
   0.73           13.83                   0.88 , 1.17          382.98 , 432.00          393.12 , 338.00              826.90 , 833.00       27.66
   0.15           14.17                   1.13 , 0.86          491.78 , 432.00          288.96 , 338.00              831.74 , 833.00       28.35
   0.85           14.18                   1.14 , 0.87          496.13 , 432.00          292.32 , 338.00              840.10 , 833.00       28.36
   0.33           14.32                   0.88 , 1.18          382.98 , 432.00          396.48 , 338.00              830.26 , 833.00       28.65
   0.68           14.32                   0.89 , 1.19          387.33 , 432.00          399.84 , 338.00              838.62 , 833.00       28.64
   0.55           14.67                   1.13 , 0.85          491.78 , 432.00          285.60 , 338.00              828.38 , 833.00       29.34
   0.45           14.68                   1.14 , 0.86          496.13 , 432.00          288.96 , 338.00              836.74 , 833.00       29.35
   0.07           14.82                   0.88 , 1.19          382.98 , 432.00          399.84 , 338.00              833.62 , 833.00       29.64
   0.81           14.83                   0.87 , 1.18          378.62 , 432.00          396.48 , 338.00              826.26 , 833.00       29.66
   0.96           15.17                   1.13 , 0.84          491.78 , 432.00          282.24 , 338.00              825.02 , 833.00       30.33
   0.05           15.17                   1.14 , 0.85          496.13 , 432.00          285.60 , 338.00              833.38 , 833.00       30.35
   0.93           15.18                   1.15 , 0.86          500.48 , 432.00          288.96 , 338.00              840.74 , 833.00       30.36
   0.41           15.33                   0.87 , 1.19          378.62 , 432.00          399.84 , 338.00              829.62 , 833.00       30.65
   0.36           15.67                   1.14 , 0.84          496.13 , 432.00          282.24 , 338.00              830.02 , 833.00       31.34
   0.53           15.68                   1.15 , 0.85          500.48 , 432.00          285.60 , 338.00              837.38 , 833.00       31.35
   0.89           15.83                   0.86 , 1.19          374.27 , 432.00          399.84 , 338.00              825.62 , 833.00       31.66
   0.76           16.17                   1.14 , 0.83          496.13 , 432.00          278.88 , 338.00              826.66 , 833.00       32.34
   0.12           16.17                   1.15 , 0.84          500.48 , 432.00          282.24 , 338.00              834.02 , 833.00       32.35
   0.28           16.67                   1.15 , 0.83          500.48 , 432.00          278.88 , 338.00              830.66 , 833.00       33.34
    0.6           16.68                   1.16 , 0.84          504.83 , 432.00          282.24 , 338.00              838.02 , 833.00       33.36
   0.68           17.17                   1.15 , 0.82          500.48 , 432.00          275.52 , 338.00              827.30 , 833.00       34.34
    0.2           17.18                   1.16 , 0.83          504.83 , 432.00          278.88 , 338.00              834.66 , 833.00       34.35
    0.2           17.67                   1.16 , 0.82          504.83 , 432.00          275.52 , 338.00              831.30 , 833.00       35.34
    0.8           17.68                   1.17 , 0.83          509.18 , 432.00          278.88 , 338.00              839.66 , 833.00       35.36
   0.61           18.17                   1.16 , 0.81          504.83 , 432.00          272.16 , 338.00              827.94 , 833.00       36.34
    0.4           18.18                   1.17 , 0.82          509.18 , 432.00          275.52 , 338.00              836.30 , 833.00       36.35
   0.01           18.67                   1.17 , 0.81          509.18 , 432.00          272.16 , 338.00              832.94 , 833.00       37.35
   0.88           18.68                   1.18 , 0.82          513.54 , 432.00          275.52 , 338.00              840.30 , 833.00       37.36
   0.41           19.17                   1.17 , 0.80          509.18 , 432.00          268.80 , 338.00              829.58 , 833.00       38.34
   0.47           19.18                   1.18 , 0.81          513.54 , 432.00          272.16 , 338.00              836.94 , 833.00       38.35
   0.07           19.67                   1.18 , 0.80          513.54 , 432.00          268.80 , 338.00              833.58 , 833.00       39.35
   0.95           19.68                   1.19 , 0.81          517.89 , 432.00          272.16 , 338.00              840.94 , 833.00       39.36
   0.55           20.18                   1.19 , 0.80          517.89 , 432.00          268.80 , 338.00              837.58 , 833.00       40.35
