Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.33           19.61                   1.12 , 0.84          487.42 , 425.00          141.12 , 187.00              679.75 , 682.00       39.22
    0.5           19.67                   1.13 , 0.85          491.78 , 425.00          142.80 , 187.00              685.43 , 682.00       39.35
   0.58           20.06                   1.12 , 0.83          487.42 , 425.00          139.44 , 187.00              678.07 , 682.00       40.12
   0.26           20.12                   1.13 , 0.84          491.78 , 425.00          141.12 , 187.00              683.75 , 682.00       40.25
   0.82           20.51                   1.12 , 0.82          487.42 , 425.00          137.76 , 187.00              676.39 , 682.00       41.02
   0.01           20.57                   1.13 , 0.83          491.78 , 425.00          139.44 , 187.00              682.07 , 682.00       41.15
   0.99           20.64                   1.14 , 0.84          496.13 , 425.00          141.12 , 187.00              688.75 , 682.00       41.27
   0.24           21.02                   1.13 , 0.82          491.78 , 425.00          137.76 , 187.00              680.39 , 682.00       42.04
   0.74           21.08                   1.14 , 0.83          496.13 , 425.00          139.44 , 187.00              687.07 , 682.00       42.17
   0.48           21.47                   1.13 , 0.81          491.78 , 425.00          136.08 , 187.00              678.71 , 682.00       42.94
    0.5           21.53                   1.14 , 0.82          496.13 , 425.00          137.76 , 187.00              685.39 , 682.00       43.07
   0.73           21.92                   1.13 , 0.80          491.78 , 425.00          134.40 , 187.00              677.03 , 682.00       43.84
   0.25           21.98                   1.14 , 0.81          496.13 , 425.00          136.08 , 187.00              683.71 , 682.00       43.97
    0.0           22.43                   1.14 , 0.80          496.13 , 425.00          134.40 , 187.00              682.03 , 682.00       44.86
   0.84           22.49                   1.15 , 0.81          500.48 , 425.00          136.08 , 187.00              687.71 , 682.00       44.99
   0.59           22.94                   1.15 , 0.80          500.48 , 425.00          134.40 , 187.00              686.03 , 682.00       45.89
