Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.85            6.22                  0.90% , 1.13          783.36 , 821.00          379.68 , 342.00            1210.67 , 1221.00       75.32
   0.85            2.11                  0.97% , 1.01          844.29 , 821.00          339.36 , 342.00            1231.35 , 1221.00       25.93
   0.86            4.88                  0.99% , 0.96          861.70 , 821.00          322.56 , 342.00            1231.55 , 1221.00       60.14
   0.86           11.01                  1.02% , 0.82          887.81 , 821.00          275.52 , 342.00            1210.51 , 1221.00      133.29
   0.88            8.19                  1.00% , 0.87          870.40 , 821.00          292.32 , 342.00            1210.31 , 1221.00       99.08
   0.89           11.96                  1.04% , 0.83          905.22 , 821.00          278.88 , 342.00            1231.87 , 1221.00      147.34
    0.9            0.98                  0.95% , 1.00          826.88 , 821.00          336.00 , 342.00            1209.99 , 1221.00       11.88
   0.92            1.85                  0.93% , 1.05          809.47 , 821.00          352.80 , 342.00            1209.79 , 1221.00       22.33
   0.92             2.2                  0.94% , 1.09          818.18 , 821.00          366.24 , 342.00            1232.23 , 1221.00       27.06
   0.93            4.67                  0.91% , 1.10          792.06 , 821.00          369.60 , 342.00            1209.59 , 1221.00       56.54
   0.94            9.06                  0.88% , 1.18          765.95 , 821.00          396.48 , 342.00            1209.47 , 1221.00      109.53
   0.94            1.79                  0.96% , 1.04          835.58 , 821.00          349.44 , 342.00            1232.43 , 1221.00       22.02
   0.95            3.35                  0.98% , 0.99          852.99 , 821.00          332.64 , 342.00            1232.63 , 1221.00       41.35
   0.96            9.75                  1.01% , 0.84          879.10 , 821.00          282.24 , 342.00            1209.23 , 1221.00      117.86
   0.96            7.65                  1.01% , 0.91          879.10 , 821.00          305.76 , 342.00            1232.75 , 1221.00       94.34
   0.97            5.37                  0.98% , 0.92          852.99 , 821.00          309.12 , 342.00            1209.11 , 1221.00       64.87
   0.98           10.43                  1.03% , 0.86          896.51 , 821.00          288.96 , 342.00            1232.95 , 1221.00      128.55
   0.99            6.49                  0.91% , 1.17          792.06 , 821.00          393.12 , 342.00            1233.11 , 1221.00       80.06
   0.99            2.54                  0.96% , 0.97          835.58 , 821.00          325.92 , 342.00            1208.91 , 1221.00       30.66
    1.0            13.2                  1.05% , 0.81          913.92 , 821.00          272.16 , 342.00            1233.15 , 1221.00      162.76
   1.01            3.72                  0.93% , 1.12          809.47 , 821.00          376.32 , 342.00            1233.31 , 1221.00       45.85
   1.01            0.29                  0.94% , 1.02          818.18 , 821.00          342.72 , 342.00            1208.71 , 1221.00        3.54
   1.02             1.9                  0.95% , 1.07          826.88 , 821.00          359.52 , 342.00            1233.51 , 1221.00        23.4
   1.03            7.51                  0.89% , 1.15          774.66 , 821.00          386.40 , 342.00            1208.39 , 1221.00       90.74
   1.05            6.12                  1.00% , 0.94          870.40 , 821.00          315.84 , 342.00            1233.83 , 1221.00       75.56
   1.06            6.92                  0.99% , 0.89          861.70 , 821.00          299.04 , 342.00            1208.03 , 1221.00       83.66
   1.07             8.9                  1.02% , 0.89          887.81 , 821.00          299.04 , 342.00            1234.03 , 1221.00      109.77
   1.08            4.09                  0.97% , 0.94          844.29 , 821.00          315.84 , 342.00            1207.83 , 1221.00       49.45
    1.1            3.13                  0.92% , 1.07          800.77 , 821.00          359.52 , 342.00            1207.51 , 1221.00       37.75
    1.1            5.24                  0.92% , 1.15          800.77 , 821.00          386.40 , 342.00            1234.39 , 1221.00       64.63
   1.12            5.96                  0.90% , 1.12          783.36 , 821.00          376.32 , 342.00            1207.31 , 1221.00       71.96
   1.12            1.94                  0.97% , 1.02          844.29 , 821.00          342.72 , 342.00            1234.71 , 1221.00       24.01
   1.13           11.32                  1.02% , 0.81          887.81 , 821.00          272.16 , 342.00            1207.15 , 1221.00      136.65
   1.14             4.6                  0.99% , 0.97          861.70 , 821.00          325.92 , 342.00            1234.91 , 1221.00       56.78
   1.15            8.49                  1.00% , 0.86          870.40 , 821.00          288.96 , 342.00            1206.95 , 1221.00      102.44
   1.17           11.66                  1.04% , 0.84          905.22 , 821.00          282.24 , 342.00            1235.23 , 1221.00      143.98
