Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    2.04              2.84          0.93% , 0.98          809.47 , 821.00           329.28 , 342.00            1186.27 , 1221.00      24.25
    2.05              1.21          0.96% , 1.05          835.58 , 821.00           352.80 , 342.00            1235.79 , 1221.00      25.38
    2.11              0.85          0.97% , 1.01          844.29 , 821.00           339.36 , 342.00            1231.35 , 1221.00      25.93
    2.12              0.64          0.93% , 1.06          809.47 , 821.00           356.16 , 342.00            1213.15 , 1221.00      25.69
    2.12               2.0          0.95% , 0.96          826.88 , 821.00           322.56 , 342.00            1196.55 , 1221.00      25.32
    2.16              2.93          0.94% , 0.95          818.18 , 821.00           319.20 , 342.00            1185.19 , 1221.00      25.62
    2.16               1.3          0.95% , 1.08          826.88 , 821.00           362.88 , 342.00            1236.87 , 1221.00      26.76
     2.2              0.92          0.94% , 1.09          818.18 , 821.00           366.24 , 342.00            1232.23 , 1221.00      27.06
    2.21               1.4          0.97% , 1.03          844.29 , 821.00           346.08 , 342.00            1238.07 , 1221.00      27.37
    2.22              3.03          0.92% , 1.00          800.77 , 821.00           336.00 , 342.00            1183.99 , 1221.00      26.23
    2.25              0.71          0.96% , 0.98          835.58 , 821.00           329.28 , 342.00            1212.27 , 1221.00       27.3
    2.31              1.93          0.92% , 1.04          800.77 , 821.00           349.44 , 342.00            1197.43 , 1221.00      27.67
    2.32              1.49          0.96% , 1.06          835.58 , 821.00           356.16 , 342.00            1239.15 , 1221.00      28.74
    2.33              3.12          0.93% , 0.97          809.47 , 821.00           325.92 , 342.00            1182.91 , 1221.00      27.61
    2.39              0.37          0.93% , 1.07          809.47 , 821.00           359.52 , 342.00            1216.51 , 1221.00      29.05
    2.39              0.57          0.97% , 1.00          844.29 , 821.00           336.00 , 342.00            1227.99 , 1221.00      29.29
     2.4              2.28          0.95% , 0.95          826.88 , 821.00           319.20 , 342.00            1193.19 , 1221.00      28.68
    2.43              1.58          0.95% , 1.09          826.88 , 821.00           366.24 , 342.00            1240.23 , 1221.00      30.12
    2.45              3.21          0.94% , 0.94          818.18 , 821.00           315.84 , 342.00            1181.83 , 1221.00      28.98
    2.46               1.2          0.94% , 1.10          818.18 , 821.00           369.60 , 342.00            1235.59 , 1221.00      30.42
    2.48              1.67          0.97% , 1.04          844.29 , 821.00           349.44 , 342.00            1241.43 , 1221.00      30.73
    2.51              3.14          0.91% , 1.02          792.06 , 821.00           342.72 , 342.00            1182.71 , 1221.00      29.66
    2.51              3.31          0.92% , 0.99          800.77 , 821.00           332.64 , 342.00            1180.63 , 1221.00      29.59
    2.54              0.99          0.96% , 0.97          835.58 , 821.00           325.92 , 342.00            1208.91 , 1221.00      30.66
    2.58              1.66          0.92% , 1.05          800.77 , 821.00           352.80 , 342.00            1200.79 , 1221.00      31.03
    2.58              1.76          0.96% , 1.07          835.58 , 821.00           359.52 , 342.00            1242.51 , 1221.00       32.1
    2.63              3.39          0.93% , 0.96          809.47 , 821.00           322.56 , 342.00            1179.55 , 1221.00      30.97
    2.63              1.78          0.98% , 1.02          852.99 , 821.00           342.72 , 342.00            1242.71 , 1221.00      32.71
    2.66              0.09          0.93% , 1.08          809.47 , 821.00           362.88 , 342.00            1219.87 , 1221.00      32.41
    2.67               0.3          0.97% , 0.99          844.29 , 821.00           332.64 , 342.00            1224.63 , 1221.00      32.65
    2.68              3.41          0.91% , 1.01          792.06 , 821.00           339.36 , 342.00            1179.35 , 1221.00      31.58
    2.69              2.55          0.95% , 0.94          826.88 , 821.00           315.84 , 342.00            1189.83 , 1221.00      32.04
    2.69              1.85          0.95% , 1.10          826.88 , 821.00           369.60 , 342.00            1243.59 , 1221.00      33.48
    2.73              1.47          0.94% , 1.11          818.18 , 821.00           372.96 , 342.00            1238.95 , 1221.00      33.78
    2.74              3.48          0.94% , 0.93          818.18 , 821.00           312.48 , 342.00            1178.47 , 1221.00      32.34
    2.74              1.95          0.97% , 1.05          844.29 , 821.00           352.80 , 342.00            1244.79 , 1221.00      34.09
    2.78              2.86          0.91% , 1.03          792.06 , 821.00           346.08 , 342.00            1186.07 , 1221.00      33.02
    2.79               1.5          0.98% , 1.01          852.99 , 821.00           339.36 , 342.00            1239.35 , 1221.00      34.63
     2.8              3.58          0.92% , 0.98          800.77 , 821.00           329.28 , 342.00            1177.27 , 1221.00      32.95
    2.82              1.27          0.96% , 0.96          835.58 , 821.00           322.56 , 342.00            1205.55 , 1221.00      34.02
    2.85              2.04          0.96% , 1.08          835.58 , 821.00           362.88 , 342.00            1245.87 , 1221.00      35.46
    2.86              1.38          0.92% , 1.06          800.77 , 821.00           356.16 , 342.00            1204.15 , 1221.00      34.39
    2.89              2.05          0.98% , 1.03          852.99 , 821.00           346.08 , 342.00            1246.07 , 1221.00      36.07
    2.92              3.67          0.93% , 0.95          809.47 , 821.00           319.20 , 342.00            1176.19 , 1221.00      34.33
    2.92              0.18          0.93% , 1.09          809.47 , 821.00           366.24 , 342.00            1223.23 , 1221.00      35.77
    2.95              2.13          0.95% , 1.11          826.88 , 821.00           372.96 , 342.00            1246.95 , 1221.00      36.84
    2.95              0.02          0.97% , 0.98          844.29 , 821.00           329.28 , 342.00            1221.27 , 1221.00      36.01
    2.97              3.69          0.91% , 1.00          792.06 , 821.00           336.00 , 342.00            1175.99 , 1221.00      34.94
    2.98              2.83          0.95% , 0.93          826.88 , 821.00           312.48 , 342.00            1186.47 , 1221.00       35.4
    2.99              1.75          0.94% , 1.12          818.18 , 821.00           376.32 , 342.00            1242.31 , 1221.00      37.14
     3.0              2.22          0.97% , 1.06          844.29 , 821.00           356.16 , 342.00            1248.15 , 1221.00      37.45
    3.04              3.76          0.94% , 0.92          818.18 , 821.00           309.12 , 342.00            1175.11 , 1221.00       35.7
    3.06              2.59          0.91% , 1.04          792.06 , 821.00           349.44 , 342.00            1189.43 , 1221.00      36.38
    3.07              1.23          0.98% , 1.00          852.99 , 821.00           336.00 , 342.00            1235.99 , 1221.00      37.99
    3.09              3.86          0.92% , 0.97          800.77 , 821.00           325.92 , 342.00            1173.91 , 1221.00      36.31
    3.11              1.54          0.96% , 0.95          835.58 , 821.00           319.20 , 342.00            1202.19 , 1221.00      37.38
    3.11              2.31          0.96% , 1.09          835.58 , 821.00           366.24 , 342.00            1249.23 , 1221.00      38.82
    3.13               1.1          0.92% , 1.07          800.77 , 821.00           359.52 , 342.00            1207.51 , 1221.00      37.75
    3.16              2.33          0.98% , 1.04          852.99 , 821.00           349.44 , 342.00            1249.43 , 1221.00      39.43
    3.19              0.46          0.93% , 1.10          809.47 , 821.00           369.60 , 342.00            1226.59 , 1221.00      39.13
    3.21              3.95          0.93% , 0.94          809.47 , 821.00           315.84 , 342.00            1172.83 , 1221.00      37.69
    3.22               2.4          0.95% , 1.12          826.88 , 821.00           376.32 , 342.00            1250.31 , 1221.00       40.2
    3.23              0.25          0.97% , 0.97          844.29 , 821.00           325.92 , 342.00            1217.91 , 1221.00      39.37
    3.25              2.02          0.94% , 1.13          818.18 , 821.00           379.68 , 342.00            1245.67 , 1221.00       40.5
    3.26               2.5          0.97% , 1.07          844.29 , 821.00           359.52 , 342.00            1251.51 , 1221.00      40.81
    3.27              3.87          0.90% , 1.02          783.36 , 821.00           342.72 , 342.00            1173.71 , 1221.00      38.36
    3.27              3.96          0.91% , 0.99          792.06 , 821.00           332.64 , 342.00            1172.63 , 1221.00       38.3
    3.28               3.1          0.95% , 0.92          826.88 , 821.00           309.12 , 342.00            1183.11 , 1221.00      38.76
    3.31              2.52          0.99% , 1.02          861.70 , 821.00           342.72 , 342.00            1251.71 , 1221.00      41.42
    3.33              2.31          0.91% , 1.05          792.06 , 821.00           352.80 , 342.00            1192.79 , 1221.00      39.74
    3.33              4.03          0.94% , 0.91          818.18 , 821.00           305.76 , 342.00            1171.75 , 1221.00      39.06
    3.35              0.95          0.98% , 0.99          852.99 , 821.00           332.64 , 342.00            1232.63 , 1221.00      41.35
    3.37              2.59          0.96% , 1.10          835.58 , 821.00           369.60 , 342.00            1252.59 , 1221.00      42.18
    3.39              4.13          0.92% , 0.96          800.77 , 821.00           322.56 , 342.00            1170.55 , 1221.00      39.67
     3.4              0.83          0.92% , 1.08          800.77 , 821.00           362.88 , 342.00            1210.87 , 1221.00      41.11
     3.4              1.82          0.96% , 0.94          835.58 , 821.00           315.84 , 342.00            1198.83 , 1221.00      40.74
    3.42               2.6          0.98% , 1.05          852.99 , 821.00           352.80 , 342.00            1252.79 , 1221.00      42.79
    3.44              4.15          0.90% , 1.01          783.36 , 821.00           339.36 , 342.00            1170.35 , 1221.00      40.28
    3.45              0.73          0.93% , 1.11          809.47 , 821.00           372.96 , 342.00            1229.95 , 1221.00      42.49
    3.47              2.68          0.95% , 1.13          826.88 , 821.00           379.68 , 342.00            1253.67 , 1221.00      43.56
    3.47              2.24          0.99% , 1.01          861.70 , 821.00           339.36 , 342.00            1248.35 , 1221.00      43.34
    3.51              4.22          0.93% , 0.93          809.47 , 821.00           312.48 , 342.00            1169.47 , 1221.00      41.05
    3.51               2.3          0.94% , 1.14          818.18 , 821.00           383.04 , 342.00            1249.03 , 1221.00      43.86
    3.52              0.53          0.97% , 0.96          844.29 , 821.00           322.56 , 342.00            1214.55 , 1221.00      42.73
    3.52              2.77          0.97% , 1.08          844.29 , 821.00           362.88 , 342.00            1254.87 , 1221.00      44.17
    3.54               3.6          0.90% , 1.03          783.36 , 821.00           346.08 , 342.00            1177.07 , 1221.00      41.72
    3.56              4.24          0.91% , 0.98          792.06 , 821.00           329.28 , 342.00            1169.27 , 1221.00      41.66
    3.57              3.38          0.95% , 0.91          826.88 , 821.00           305.76 , 342.00            1179.75 , 1221.00      42.12
    3.57              2.79          0.99% , 1.03          861.70 , 821.00           346.08 , 342.00            1255.07 , 1221.00      44.78
     3.6              2.04          0.91% , 1.06          792.06 , 821.00           356.16 , 342.00            1196.15 , 1221.00       43.1
    3.63              4.31          0.94% , 0.90          818.18 , 821.00           302.40 , 342.00            1168.39 , 1221.00      42.42
    3.63              2.86          0.96% , 1.11          835.58 , 821.00           372.96 , 342.00            1255.95 , 1221.00      45.54
    3.64              0.68          0.98% , 0.98          852.99 , 821.00           329.28 , 342.00            1229.27 , 1221.00      44.71
    3.66              0.55          0.92% , 1.09          800.77 , 821.00           366.24 , 342.00            1214.23 , 1221.00      44.47
    3.67              2.88          0.98% , 1.06          852.99 , 821.00           356.16 , 342.00            1256.15 , 1221.00      46.15
    3.69              4.41          0.92% , 0.95          800.77 , 821.00           319.20 , 342.00            1167.19 , 1221.00      43.03
    3.69              2.09          0.96% , 0.93          835.58 , 821.00           312.48 , 342.00            1195.47 , 1221.00       44.1
    3.72              1.01          0.93% , 1.12          809.47 , 821.00           376.32 , 342.00            1233.31 , 1221.00      45.85
    3.73              2.95          0.95% , 1.14          826.88 , 821.00           383.04 , 342.00            1257.03 , 1221.00      46.92
    3.74              4.42          0.90% , 1.00          783.36 , 821.00           336.00 , 342.00            1166.99 , 1221.00      43.64
    3.75              1.96          0.99% , 1.00          861.70 , 821.00           336.00 , 342.00            1244.99 , 1221.00       46.7
    3.77              2.57          0.94% , 1.15          818.18 , 821.00           386.40 , 342.00            1252.39 , 1221.00      47.22
    3.78              3.05          0.97% , 1.09          844.29 , 821.00           366.24 , 342.00            1258.23 , 1221.00      47.53
    3.81               4.5          0.93% , 0.92          809.47 , 821.00           309.12 , 342.00            1166.11 , 1221.00      44.41
    3.81               0.8          0.97% , 0.95          844.29 , 821.00           319.20 , 342.00            1211.19 , 1221.00      46.09
    3.82              3.32          0.90% , 1.04          783.36 , 821.00           349.44 , 342.00            1180.43 , 1221.00      45.08
    3.83              3.07          0.99% , 1.04          861.70 , 821.00           349.44 , 342.00            1258.43 , 1221.00      48.14
    3.86              4.51          0.91% , 0.97          792.06 , 821.00           325.92 , 342.00            1165.91 , 1221.00      45.02
    3.87              1.76          0.91% , 1.07          792.06 , 821.00           359.52 , 342.00            1199.51 , 1221.00      46.46
    3.87              3.65          0.95% , 0.90          826.88 , 821.00           302.40 , 342.00            1176.39 , 1221.00      45.48
    3.88              3.14          0.96% , 1.12          835.58 , 821.00           376.32 , 342.00            1259.31 , 1221.00       48.9
    3.92               0.4          0.98% , 0.97          852.99 , 821.00           325.92 , 342.00            1225.91 , 1221.00      48.07
    3.93              0.28          0.92% , 1.10          800.77 , 821.00           369.60 , 342.00            1217.59 , 1221.00      47.83
    3.93              4.58          0.94% , 0.89          818.18 , 821.00           299.04 , 342.00            1165.03 , 1221.00      45.78
    3.93              3.15          0.98% , 1.07          852.99 , 821.00           359.52 , 342.00            1259.51 , 1221.00      49.51
    3.98              1.28          0.93% , 1.13          809.47 , 821.00           379.68 , 342.00            1236.67 , 1221.00      49.21
    3.98              2.37          0.96% , 0.92          835.58 , 821.00           309.12 , 342.00            1192.11 , 1221.00      47.46
    3.98              3.25          1.00% , 1.02          870.40 , 821.00           342.72 , 342.00            1260.71 , 1221.00      50.12
    3.99              4.68          0.92% , 0.94          800.77 , 821.00           315.84 , 342.00            1163.83 , 1221.00      46.39
    3.99              3.23          0.95% , 1.15          826.88 , 821.00           386.40 , 342.00            1260.39 , 1221.00      50.28
    4.03              2.85          0.94% , 1.16          818.18 , 821.00           389.76 , 342.00            1255.75 , 1221.00      50.58
    4.03              3.32          0.97% , 1.10          844.29 , 821.00           369.60 , 342.00            1261.59 , 1221.00      50.89
    4.03              1.69          0.99% , 0.99          861.70 , 821.00           332.64 , 342.00            1241.63 , 1221.00      50.06
    4.04              4.61          0.89% , 1.02          774.66 , 821.00           342.72 , 342.00            1164.71 , 1221.00      47.06
    4.04               4.7          0.90% , 0.99          783.36 , 821.00           332.64 , 342.00            1163.63 , 1221.00       47.0
    4.08              3.34          0.99% , 1.05          861.70 , 821.00           352.80 , 342.00            1261.79 , 1221.00       51.5
    4.09              3.05          0.90% , 1.05          783.36 , 821.00           352.80 , 342.00            1183.79 , 1221.00      48.44
    4.09              1.08          0.97% , 0.94          844.29 , 821.00           315.84 , 342.00            1207.83 , 1221.00      49.45
    4.11              4.77          0.93% , 0.91          809.47 , 821.00           305.76 , 342.00            1162.75 , 1221.00      47.77
    4.14              1.48          0.91% , 1.08          792.06 , 821.00           362.88 , 342.00            1202.87 , 1221.00      49.82
    4.14              3.41          0.96% , 1.13          835.58 , 821.00           379.68 , 342.00            1262.67 , 1221.00      52.26
    4.14              2.98          1.00% , 1.01          870.40 , 821.00           339.36 , 342.00            1257.35 , 1221.00      52.04
    4.16              4.79          0.91% , 0.96          792.06 , 821.00           322.56 , 342.00            1162.55 , 1221.00      48.38
    4.16              3.93          0.95% , 0.89          826.88 , 821.00           299.04 , 342.00            1173.03 , 1221.00      48.84
    4.19               0.0          0.92% , 1.11          800.77 , 821.00           372.96 , 342.00            1220.95 , 1221.00      51.19
    4.19              3.43          0.98% , 1.08          852.99 , 821.00           362.88 , 342.00            1262.87 , 1221.00      52.87
    4.21              0.13          0.98% , 0.96          852.99 , 821.00           322.56 , 342.00            1222.55 , 1221.00      51.43
    4.22              4.89          0.89% , 1.01          774.66 , 821.00           339.36 , 342.00            1161.35 , 1221.00      48.98
    4.23              4.86          0.94% , 0.88          818.18 , 821.00           295.68 , 342.00            1161.67 , 1221.00      49.14
    4.23              3.53          1.00% , 1.03          870.40 , 821.00           346.08 , 342.00            1264.07 , 1221.00      53.48
    4.24              1.56          0.93% , 1.14          809.47 , 821.00           383.04 , 342.00            1240.03 , 1221.00      52.57
    4.24               3.5          0.95% , 1.16          826.88 , 821.00           389.76 , 342.00            1263.75 , 1221.00      53.64
    4.28              3.12          0.94% , 1.17          818.18 , 821.00           393.12 , 342.00            1259.11 , 1221.00      53.94
    4.28              2.64          0.96% , 0.91          835.58 , 821.00           305.76 , 342.00            1188.75 , 1221.00      50.82
    4.29              4.96          0.92% , 0.93          800.77 , 821.00           312.48 , 342.00            1160.47 , 1221.00      49.75
    4.29               3.6          0.97% , 1.11          844.29 , 821.00           372.96 , 342.00            1264.95 , 1221.00      54.25
    4.31              1.41          0.99% , 0.98          861.70 , 821.00           329.28 , 342.00            1238.27 , 1221.00      53.42
    4.32              4.33          0.89% , 1.03          774.66 , 821.00           346.08 , 342.00            1168.07 , 1221.00      50.42
    4.34              4.97          0.90% , 0.98          783.36 , 821.00           329.28 , 342.00            1160.27 , 1221.00      50.36
    4.34              3.62          0.99% , 1.06          861.70 , 821.00           356.16 , 342.00            1265.15 , 1221.00      54.86
    4.36              2.77          0.90% , 1.06          783.36 , 821.00           356.16 , 342.00            1187.15 , 1221.00       51.8
    4.38              1.35          0.97% , 0.93          844.29 , 821.00           312.48 , 342.00            1204.47 , 1221.00      52.81
    4.39              3.69          0.96% , 1.14          835.58 , 821.00           383.04 , 342.00            1266.03 , 1221.00      55.62
    4.41              1.21          0.91% , 1.09          792.06 , 821.00           366.24 , 342.00            1206.23 , 1221.00      53.18
    4.41              5.05          0.93% , 0.90          809.47 , 821.00           302.40 , 342.00            1159.39 , 1221.00      51.13
    4.42               2.7          1.00% , 1.00          870.40 , 821.00           336.00 , 342.00            1253.99 , 1221.00       55.4
    4.44               3.7          0.98% , 1.09          852.99 , 821.00           366.24 , 342.00            1266.23 , 1221.00      56.23
    4.46              5.06          0.91% , 0.95          792.06 , 821.00           319.20 , 342.00            1159.19 , 1221.00      51.74
    4.46              0.27          0.92% , 1.12          800.77 , 821.00           376.32 , 342.00            1224.31 , 1221.00      54.55
    4.46               4.2          0.95% , 0.88          826.88 , 821.00           295.68 , 342.00            1169.67 , 1221.00       52.2
    4.48               3.8          1.00% , 1.04          870.40 , 821.00           349.44 , 342.00            1267.43 , 1221.00      56.84
    4.49              0.15          0.98% , 0.95          852.99 , 821.00           319.20 , 342.00            1219.19 , 1221.00      54.79
     4.5              1.83          0.93% , 1.15          809.47 , 821.00           386.40 , 342.00            1243.39 , 1221.00      55.93
     4.5              3.78          0.95% , 1.17          826.88 , 821.00           393.12 , 342.00            1267.11 , 1221.00       57.0
    4.52              5.16          0.89% , 1.00          774.66 , 821.00           336.00 , 342.00            1157.99 , 1221.00      52.34
    4.53              5.13          0.94% , 0.87          818.18 , 821.00           292.32 , 342.00            1158.31 , 1221.00       52.5
    4.54               3.4          0.94% , 1.18          818.18 , 821.00           396.48 , 342.00            1262.47 , 1221.00       57.3
    4.54              3.87          0.97% , 1.12          844.29 , 821.00           376.32 , 342.00            1268.31 , 1221.00      57.61
    4.57              2.92          0.96% , 0.90          835.58 , 821.00           302.40 , 342.00            1185.39 , 1221.00      54.18
    4.59              4.06          0.89% , 1.04          774.66 , 821.00           349.44 , 342.00            1171.43 , 1221.00      53.78
    4.59              5.23          0.92% , 0.92          800.77 , 821.00           309.12 , 342.00            1157.11 , 1221.00      53.11
    4.59              3.89          0.99% , 1.07          861.70 , 821.00           359.52 , 342.00            1268.51 , 1221.00      58.22
     4.6              1.14          0.99% , 0.97          861.70 , 821.00           325.92 , 342.00            1234.91 , 1221.00      56.78
    4.63               2.5          0.90% , 1.07          783.36 , 821.00           359.52 , 342.00            1190.51 , 1221.00      55.16
    4.63              3.99          1.01% , 1.02          879.10 , 821.00           342.72 , 342.00            1269.71 , 1221.00      58.82
    4.64              5.25          0.90% , 0.97          783.36 , 821.00           325.92 , 342.00            1156.91 , 1221.00      53.72
    4.65              3.96          0.96% , 1.15          835.58 , 821.00           386.40 , 342.00            1269.39 , 1221.00      58.98
    4.67              0.93          0.91% , 1.10          792.06 , 821.00           369.60 , 342.00            1209.59 , 1221.00      56.54
    4.68              1.63          0.97% , 0.92          844.29 , 821.00           309.12 , 342.00            1201.11 , 1221.00      56.17
    4.69              3.98          0.98% , 1.10          852.99 , 821.00           369.60 , 342.00            1269.59 , 1221.00      59.59
     4.7              2.43          1.00% , 0.99          870.40 , 821.00           332.64 , 342.00            1250.63 , 1221.00      58.76
    4.71              5.32          0.93% , 0.89          809.47 , 821.00           299.04 , 342.00            1156.03 , 1221.00      54.49
    4.72              0.55          0.92% , 1.13          800.77 , 821.00           379.68 , 342.00            1227.67 , 1221.00      57.91
    4.74              4.08          1.00% , 1.05          870.40 , 821.00           352.80 , 342.00            1270.79 , 1221.00       60.2
    4.75              4.05          0.95% , 1.18          826.88 , 821.00           396.48 , 342.00            1270.47 , 1221.00      60.36
    4.76              2.11          0.93% , 1.16          809.47 , 821.00           389.76 , 342.00            1246.75 , 1221.00      59.29
    4.76              4.48          0.95% , 0.87          826.88 , 821.00           292.32 , 342.00            1166.31 , 1221.00      55.56
    4.77              5.34          0.91% , 0.94          792.06 , 821.00           315.84 , 342.00            1155.83 , 1221.00       55.1
    4.78              0.42          0.98% , 0.94          852.99 , 821.00           315.84 , 342.00            1215.83 , 1221.00      58.15
    4.79              3.67          0.94% , 1.19          818.18 , 821.00           399.84 , 342.00            1265.83 , 1221.00      60.66
    4.79              4.15          0.97% , 1.13          844.29 , 821.00           379.68 , 342.00            1271.67 , 1221.00      60.97
     4.8              3.71          1.01% , 1.01          879.10 , 821.00           339.36 , 342.00            1266.35 , 1221.00      60.74
    4.82              5.44          0.89% , 0.99          774.66 , 821.00           332.64 , 342.00            1154.63 , 1221.00       55.7
    4.83              5.35          0.88% , 1.02          765.95 , 821.00           342.72 , 342.00            1155.71 , 1221.00      55.77
    4.84              5.41          0.94% , 0.86          818.18 , 821.00           288.96 , 342.00            1154.95 , 1221.00      55.86
    4.84              4.17          0.99% , 1.08          861.70 , 821.00           362.88 , 342.00            1271.87 , 1221.00      61.58
    4.86              3.78          0.89% , 1.05          774.66 , 821.00           352.80 , 342.00            1174.79 , 1221.00      57.14
    4.87              3.19          0.96% , 0.89          835.58 , 821.00           299.04 , 342.00            1182.03 , 1221.00      57.54
    4.88              0.86          0.99% , 0.96          861.70 , 821.00           322.56 , 342.00            1231.55 , 1221.00      60.14
    4.88              4.26          1.01% , 1.03          879.10 , 821.00           346.08 , 342.00            1273.07 , 1221.00      62.18
    4.89              5.51          0.92% , 0.91          800.77 , 821.00           305.76 , 342.00            1153.75 , 1221.00      56.47
     4.9              2.22          0.90% , 1.08          783.36 , 821.00           362.88 , 342.00            1193.87 , 1221.00      58.52
     4.9              4.24          0.96% , 1.16          835.58 , 821.00           389.76 , 342.00            1272.75 , 1221.00      62.34
    4.94              0.66          0.91% , 1.11          792.06 , 821.00           372.96 , 342.00            1212.95 , 1221.00       59.9
    4.95              5.52          0.90% , 0.96          783.36 , 821.00           322.56 , 342.00            1153.55 , 1221.00      57.08
    4.95              4.25          0.98% , 1.11          852.99 , 821.00           372.96 , 342.00            1272.95 , 1221.00      62.95
    4.97               1.9          0.97% , 0.91          844.29 , 821.00           305.76 , 342.00            1197.75 , 1221.00      59.53
    4.98              0.82          0.92% , 1.14          800.77 , 821.00           383.04 , 342.00            1231.03 , 1221.00      61.27
