Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   25.41             11.71          0.81% , 1.07         1410.05 , 998.00           179.76 , 183.00            1634.23 , 1851.00     415.29
   25.48             11.17          0.81% , 1.13         1410.05 , 998.00           189.84 , 183.00            1644.31 , 1851.00     418.89
   25.52             13.26          0.80% , 1.00         1392.64 , 998.00           168.00 , 183.00            1605.47 , 1851.00     409.64
   25.54              11.8          0.81% , 1.06         1410.05 , 998.00           178.08 , 183.00            1632.55 , 1851.00     416.97
   25.55             11.08          0.81% , 1.14         1410.05 , 998.00           191.52 , 183.00            1645.99 , 1851.00     420.57
   25.63             10.98          0.81% , 1.15         1410.05 , 998.00           193.20 , 183.00            1647.67 , 1851.00     422.25
   25.65             13.36          0.80% , 0.99         1392.64 , 998.00           166.32 , 183.00            1603.79 , 1851.00     411.32
   25.67             11.89          0.81% , 1.05         1410.05 , 998.00           176.40 , 183.00            1630.87 , 1851.00     418.65
    25.7             10.89          0.81% , 1.16         1410.05 , 998.00           194.88 , 183.00            1649.35 , 1851.00     423.93
   25.78             13.45          0.80% , 0.98         1392.64 , 998.00           164.64 , 183.00            1602.11 , 1851.00      413.0
   25.78              10.8          0.81% , 1.17         1410.05 , 998.00           196.56 , 183.00            1651.03 , 1851.00     425.61
    25.8             11.98          0.81% , 1.04         1410.05 , 998.00           174.72 , 183.00            1629.19 , 1851.00     420.33
   25.85             10.71          0.81% , 1.18         1410.05 , 998.00           198.24 , 183.00            1652.71 , 1851.00     427.29
   25.91             13.54          0.80% , 0.97         1392.64 , 998.00           162.96 , 183.00            1600.43 , 1851.00     414.68
   25.93             12.07          0.81% , 1.03         1410.05 , 998.00           173.04 , 183.00            1627.51 , 1851.00     422.01
   25.93             10.62          0.81% , 1.19         1410.05 , 998.00           199.92 , 183.00            1654.39 , 1851.00     428.97
   25.95             10.56          0.82% , 1.09         1427.46 , 998.00           183.12 , 183.00            1655.59 , 1851.00     429.58
   26.02             10.47          0.82% , 1.10         1427.46 , 998.00           184.80 , 183.00            1657.27 , 1851.00     431.26
   26.04             13.63          0.80% , 0.96         1392.64 , 998.00           161.28 , 183.00            1598.75 , 1851.00     416.36
   26.06             12.16          0.81% , 1.02         1410.05 , 998.00           171.36 , 183.00            1625.83 , 1851.00     423.69
   26.06             10.65          0.82% , 1.08         1427.46 , 998.00           181.44 , 183.00            1653.91 , 1851.00     431.02
    26.1             10.38          0.82% , 1.11         1427.46 , 998.00           186.48 , 183.00            1658.95 , 1851.00     432.94
   26.17             10.28          0.82% , 1.12         1427.46 , 998.00           188.16 , 183.00            1660.63 , 1851.00     434.62
   26.18             13.72          0.80% , 0.95         1392.64 , 998.00           159.60 , 183.00            1597.07 , 1851.00     418.04
   26.19             12.26          0.81% , 1.01         1410.05 , 998.00           169.68 , 183.00            1624.15 , 1851.00     425.37
   26.19             10.74          0.82% , 1.07         1427.46 , 998.00           179.76 , 183.00            1652.23 , 1851.00      432.7
   26.25             10.19          0.82% , 1.13         1427.46 , 998.00           189.84 , 183.00            1662.31 , 1851.00      436.3
   26.31             13.81          0.80% , 0.94         1392.64 , 998.00           157.92 , 183.00            1595.39 , 1851.00     419.72
   26.32             12.35          0.81% , 1.00         1410.05 , 998.00           168.00 , 183.00            1622.47 , 1851.00     427.05
   26.32             10.83          0.82% , 1.06         1427.46 , 998.00           178.08 , 183.00            1650.55 , 1851.00     434.38
   26.32              10.1          0.82% , 1.14         1427.46 , 998.00           191.52 , 183.00            1663.99 , 1851.00     437.98
    26.4             10.01          0.82% , 1.15         1427.46 , 998.00           193.20 , 183.00            1665.67 , 1851.00     439.66
   26.44              13.9          0.80% , 0.93         1392.64 , 998.00           156.24 , 183.00            1593.71 , 1851.00      421.4
   26.45             12.44          0.81% , 0.99         1410.05 , 998.00           166.32 , 183.00            1620.79 , 1851.00     428.73
   26.45             10.92          0.82% , 1.05         1427.46 , 998.00           176.40 , 183.00            1648.87 , 1851.00     436.06
   26.47              9.92          0.82% , 1.16         1427.46 , 998.00           194.88 , 183.00            1667.35 , 1851.00     441.34
   26.54              9.83          0.82% , 1.17         1427.46 , 998.00           196.56 , 183.00            1669.03 , 1851.00     443.02
   26.57             13.99          0.80% , 0.92         1392.64 , 998.00           154.56 , 183.00            1592.03 , 1851.00     423.08
   26.57             11.01          0.82% , 1.04         1427.46 , 998.00           174.72 , 183.00            1647.19 , 1851.00     437.74
   26.58             12.53          0.81% , 0.98         1410.05 , 998.00           164.64 , 183.00            1619.11 , 1851.00     430.41
   26.62              9.74          0.82% , 1.18         1427.46 , 998.00           198.24 , 183.00            1670.71 , 1851.00      444.7
   26.69              9.65          0.82% , 1.19         1427.46 , 998.00           199.92 , 183.00            1672.39 , 1851.00     446.38
    26.7              11.1          0.82% , 1.03         1427.46 , 998.00           173.04 , 183.00            1645.51 , 1851.00     439.42
   26.71             14.08          0.80% , 0.91         1392.64 , 998.00           152.88 , 183.00            1590.35 , 1851.00     424.76
   26.71             12.62          0.81% , 0.97         1410.05 , 998.00           162.96 , 183.00            1617.43 , 1851.00     432.09
   26.72              9.64          0.83% , 1.09         1444.86 , 998.00           183.12 , 183.00            1672.59 , 1851.00     446.98
    26.8              9.55          0.83% , 1.10         1444.86 , 998.00           184.80 , 183.00            1674.27 , 1851.00     448.66
   26.83             11.19          0.82% , 1.02         1427.46 , 998.00           171.36 , 183.00            1643.83 , 1851.00      441.1
   26.84             14.17          0.80% , 0.90         1392.64 , 998.00           151.20 , 183.00            1588.67 , 1851.00     426.44
   26.84              9.73          0.83% , 1.08         1444.86 , 998.00           181.44 , 183.00            1670.91 , 1851.00     448.42
   26.85             12.71          0.81% , 0.96         1410.05 , 998.00           161.28 , 183.00            1615.75 , 1851.00     433.77
   26.87              9.46          0.83% , 1.11         1444.86 , 998.00           186.48 , 183.00            1675.95 , 1851.00     450.34
   26.94              9.37          0.83% , 1.12         1444.86 , 998.00           188.16 , 183.00            1677.63 , 1851.00     452.02
   26.96             11.28          0.82% , 1.01         1427.46 , 998.00           169.68 , 183.00            1642.15 , 1851.00     442.78
   26.96              9.82          0.83% , 1.07         1444.86 , 998.00           179.76 , 183.00            1669.23 , 1851.00      450.1
   26.98             14.26          0.80% , 0.89         1392.64 , 998.00           149.52 , 183.00            1586.99 , 1851.00     428.12
   26.98              12.8          0.81% , 0.95         1410.05 , 998.00           159.60 , 183.00            1614.07 , 1851.00     435.45
   27.02              9.28          0.83% , 1.13         1444.86 , 998.00           189.84 , 183.00            1679.31 , 1851.00      453.7
   27.09             11.37          0.82% , 1.00         1427.46 , 998.00           168.00 , 183.00            1640.47 , 1851.00     444.46
   27.09              9.91          0.83% , 1.06         1444.86 , 998.00           178.08 , 183.00            1667.55 , 1851.00     451.78
   27.09              9.18          0.83% , 1.14         1444.86 , 998.00           191.52 , 183.00            1680.99 , 1851.00     455.38
   27.11             14.35          0.80% , 0.88         1392.64 , 998.00           147.84 , 183.00            1585.31 , 1851.00      429.8
   27.11             12.89          0.81% , 0.94         1410.05 , 998.00           157.92 , 183.00            1612.39 , 1851.00     437.13
   27.16              9.09          0.83% , 1.15         1444.86 , 998.00           193.20 , 183.00            1682.67 , 1851.00     457.06
   27.22             11.46          0.82% , 0.99         1427.46 , 998.00           166.32 , 183.00            1638.79 , 1851.00     446.14
   27.22              10.0          0.83% , 1.05         1444.86 , 998.00           176.40 , 183.00            1665.87 , 1851.00     453.46
   27.24             12.98          0.81% , 0.93         1410.05 , 998.00           156.24 , 183.00            1610.71 , 1851.00     438.81
   27.24               9.0          0.83% , 1.16         1444.86 , 998.00           194.88 , 183.00            1684.35 , 1851.00     458.74
   27.25             14.44          0.80% , 0.87         1392.64 , 998.00           146.16 , 183.00            1583.63 , 1851.00     431.48
   27.31              8.91          0.83% , 1.17         1444.86 , 998.00           196.56 , 183.00            1686.03 , 1851.00     460.42
   27.35             11.56          0.82% , 0.98         1427.46 , 998.00           164.64 , 183.00            1637.11 , 1851.00     447.82
   27.35             10.09          0.83% , 1.04         1444.86 , 998.00           174.72 , 183.00            1664.19 , 1851.00     455.14
   27.38             14.54          0.80% , 0.86         1392.64 , 998.00           144.48 , 183.00            1581.95 , 1851.00     433.16
   27.38             13.07          0.81% , 0.92         1410.05 , 998.00           154.56 , 183.00            1609.03 , 1851.00     440.49
   27.38              8.82          0.83% , 1.18         1444.86 , 998.00           198.24 , 183.00            1687.71 , 1851.00      462.1
   27.45              8.73          0.83% , 1.19         1444.86 , 998.00           199.92 , 183.00            1689.39 , 1851.00     463.78
   27.47              8.67          0.84% , 1.09         1462.27 , 998.00           183.12 , 183.00            1690.59 , 1851.00     464.39
   27.48             11.65          0.82% , 0.97         1427.46 , 998.00           162.96 , 183.00            1635.43 , 1851.00      449.5
   27.48             10.18          0.83% , 1.03         1444.86 , 998.00           173.04 , 183.00            1662.51 , 1851.00     456.82
   27.51             13.16          0.81% , 0.91         1410.05 , 998.00           152.88 , 183.00            1607.35 , 1851.00     442.17
   27.52             14.63          0.80% , 0.85         1392.64 , 998.00           142.80 , 183.00            1580.27 , 1851.00     434.84
   27.54              8.58          0.84% , 1.10         1462.27 , 998.00           184.80 , 183.00            1692.27 , 1851.00     466.07
   27.58              8.76          0.84% , 1.08         1462.27 , 998.00           181.44 , 183.00            1688.91 , 1851.00     465.83
   27.61             10.27          0.83% , 1.02         1444.86 , 998.00           171.36 , 183.00            1660.83 , 1851.00      458.5
   27.61              8.48          0.84% , 1.11         1462.27 , 998.00           186.48 , 183.00            1693.95 , 1851.00     467.75
   27.62             11.74          0.82% , 0.96         1427.46 , 998.00           161.28 , 183.00            1633.75 , 1851.00     451.18
   27.64             13.25          0.81% , 0.90         1410.05 , 998.00           151.20 , 183.00            1605.67 , 1851.00     443.85
   27.65             14.72          0.80% , 0.84         1392.64 , 998.00           141.12 , 183.00            1578.59 , 1851.00     436.52
   27.68              8.39          0.84% , 1.12         1462.27 , 998.00           188.16 , 183.00            1695.63 , 1851.00     469.43
   27.71              8.85          0.84% , 1.07         1462.27 , 998.00           179.76 , 183.00            1687.23 , 1851.00     467.51
   27.74             10.36          0.83% , 1.01         1444.86 , 998.00           169.68 , 183.00            1659.15 , 1851.00     460.18
   27.75             11.83          0.82% , 0.95         1427.46 , 998.00           159.60 , 183.00            1632.07 , 1851.00     452.86
   27.76               8.3          0.84% , 1.13         1462.27 , 998.00           189.84 , 183.00            1697.31 , 1851.00     471.11
   27.78             13.34          0.81% , 0.89         1410.05 , 998.00           149.52 , 183.00            1603.99 , 1851.00     445.53
   27.79             14.81          0.80% , 0.83         1392.64 , 998.00           139.44 , 183.00            1576.91 , 1851.00      438.2
   27.83              8.21          0.84% , 1.14         1462.27 , 998.00           191.52 , 183.00            1698.99 , 1851.00     472.79
   27.84              8.94          0.84% , 1.06         1462.27 , 998.00           178.08 , 183.00            1685.55 , 1851.00     469.19
   27.87             10.46          0.83% , 1.00         1444.86 , 998.00           168.00 , 183.00            1657.47 , 1851.00     461.86
   27.88             11.92          0.82% , 0.94         1427.46 , 998.00           157.92 , 183.00            1630.39 , 1851.00     454.54
    27.9              8.12          0.84% , 1.15         1462.27 , 998.00           193.20 , 183.00            1700.67 , 1851.00     474.47
   27.91             13.44          0.81% , 0.88         1410.05 , 998.00           147.84 , 183.00            1602.31 , 1851.00     447.21
   27.92              14.9          0.80% , 0.82         1392.64 , 998.00           137.76 , 183.00            1575.23 , 1851.00     439.88
   27.96              9.03          0.84% , 1.05         1462.27 , 998.00           176.40 , 183.00            1683.87 , 1851.00     470.87
   27.97              8.03          0.84% , 1.16         1462.27 , 998.00           194.88 , 183.00            1702.35 , 1851.00     476.15
    28.0             10.55          0.83% , 0.99         1444.86 , 998.00           166.32 , 183.00            1655.79 , 1851.00     463.54
   28.01             12.01          0.82% , 0.93         1427.46 , 998.00           156.24 , 183.00            1628.71 , 1851.00     456.22
   28.04             13.53          0.81% , 0.87         1410.05 , 998.00           146.16 , 183.00            1600.63 , 1851.00     448.89
   28.04              7.94          0.84% , 1.17         1462.27 , 998.00           196.56 , 183.00            1704.03 , 1851.00     477.83
   28.06             14.99          0.80% , 0.81         1392.64 , 998.00           136.08 , 183.00            1573.55 , 1851.00     441.56
   28.09              9.12          0.84% , 1.04         1462.27 , 998.00           174.72 , 183.00            1682.19 , 1851.00     472.55
   28.11              7.85          0.84% , 1.18         1462.27 , 998.00           198.24 , 183.00            1705.71 , 1851.00     479.51
   28.13             10.64          0.83% , 0.98         1444.86 , 998.00           164.64 , 183.00            1654.11 , 1851.00     465.22
   28.14              12.1          0.82% , 0.92         1427.46 , 998.00           154.56 , 183.00            1627.03 , 1851.00      457.9
   28.18             13.62          0.81% , 0.86         1410.05 , 998.00           144.48 , 183.00            1598.95 , 1851.00     450.57
   28.18              7.76          0.84% , 1.19         1462.27 , 998.00           199.92 , 183.00            1707.39 , 1851.00     481.19
    28.2             15.08          0.80% , 0.80         1392.64 , 998.00           134.40 , 183.00            1571.87 , 1851.00     443.24
   28.22              9.21          0.84% , 1.03         1462.27 , 998.00           173.04 , 183.00            1680.51 , 1851.00     474.23
   28.22              7.75          0.85% , 1.09         1479.68 , 998.00           183.12 , 183.00            1707.59 , 1851.00      481.8
   28.26             10.73          0.83% , 0.97         1444.86 , 998.00           162.96 , 183.00            1652.43 , 1851.00      466.9
   28.28             12.19          0.82% , 0.91         1427.46 , 998.00           152.88 , 183.00            1625.35 , 1851.00     459.58
   28.29              7.66          0.85% , 1.10         1479.68 , 998.00           184.80 , 183.00            1709.27 , 1851.00     483.48
   28.31             13.71          0.81% , 0.85         1410.05 , 998.00           142.80 , 183.00            1597.27 , 1851.00     452.25
   28.33              7.84          0.85% , 1.08         1479.68 , 998.00           181.44 , 183.00            1705.91 , 1851.00     483.24
   28.35               9.3          0.84% , 1.02         1462.27 , 998.00           171.36 , 183.00            1678.83 , 1851.00     475.91
   28.36              7.57          0.85% , 1.11         1479.68 , 998.00           186.48 , 183.00            1710.95 , 1851.00     485.16
   28.39             10.82          0.83% , 0.96         1444.86 , 998.00           161.28 , 183.00            1650.75 , 1851.00     468.58
   28.41             12.28          0.82% , 0.90         1427.46 , 998.00           151.20 , 183.00            1623.67 , 1851.00     461.26
   28.43              7.48          0.85% , 1.12         1479.68 , 998.00           188.16 , 183.00            1712.63 , 1851.00     486.84
   28.45              13.8          0.81% , 0.84         1410.05 , 998.00           141.12 , 183.00            1595.59 , 1851.00     453.93
   28.45              7.93          0.85% , 1.07         1479.68 , 998.00           179.76 , 183.00            1704.23 , 1851.00     484.92
   28.48              9.39          0.84% , 1.01         1462.27 , 998.00           169.68 , 183.00            1677.15 , 1851.00     477.59
    28.5              7.38          0.85% , 1.13         1479.68 , 998.00           189.84 , 183.00            1714.31 , 1851.00     488.52
   28.52             10.91          0.83% , 0.95         1444.86 , 998.00           159.60 , 183.00            1649.07 , 1851.00     470.26
   28.54             12.37          0.82% , 0.89         1427.46 , 998.00           149.52 , 183.00            1621.99 , 1851.00     462.94
   28.57              7.29          0.85% , 1.14         1479.68 , 998.00           191.52 , 183.00            1715.99 , 1851.00      490.2
   28.58             13.89          0.81% , 0.83         1410.05 , 998.00           139.44 , 183.00            1593.91 , 1851.00     455.61
   28.58              8.02          0.85% , 1.06         1479.68 , 998.00           178.08 , 183.00            1702.55 , 1851.00      486.6
   28.61              9.48          0.84% , 1.00         1462.27 , 998.00           168.00 , 183.00            1675.47 , 1851.00     479.27
   28.64               7.2          0.85% , 1.15         1479.68 , 998.00           193.20 , 183.00            1717.67 , 1851.00     491.88
   28.65              11.0          0.83% , 0.94         1444.86 , 998.00           157.92 , 183.00            1647.39 , 1851.00     471.94
   28.67             12.46          0.82% , 0.88         1427.46 , 998.00           147.84 , 183.00            1620.31 , 1851.00     464.62
   28.71              8.11          0.85% , 1.05         1479.68 , 998.00           176.40 , 183.00            1700.87 , 1851.00     488.28
   28.71              7.11          0.85% , 1.16         1479.68 , 998.00           194.88 , 183.00            1719.35 , 1851.00     493.56
   28.72             13.98          0.81% , 0.82         1410.05 , 998.00           137.76 , 183.00            1592.23 , 1851.00     457.29
   28.73              9.57          0.84% , 0.99         1462.27 , 998.00           166.32 , 183.00            1673.79 , 1851.00     480.95
   28.78             11.09          0.83% , 0.93         1444.86 , 998.00           156.24 , 183.00            1645.71 , 1851.00     473.62
   28.78              7.02          0.85% , 1.17         1479.68 , 998.00           196.56 , 183.00            1721.03 , 1851.00     495.24
   28.81             12.55          0.82% , 0.87         1427.46 , 998.00           146.16 , 183.00            1618.63 , 1851.00      466.3
   28.83               8.2          0.85% , 1.04         1479.68 , 998.00           174.72 , 183.00            1699.19 , 1851.00     489.96
   28.85              6.93          0.85% , 1.18         1479.68 , 998.00           198.24 , 183.00            1722.71 , 1851.00     496.92
   28.86             14.07          0.81% , 0.81         1410.05 , 998.00           136.08 , 183.00            1590.55 , 1851.00     458.97
   28.86              9.66          0.84% , 0.98         1462.27 , 998.00           164.64 , 183.00            1672.11 , 1851.00     482.63
   28.91             11.18          0.83% , 0.92         1444.86 , 998.00           154.56 , 183.00            1644.03 , 1851.00      475.3
   28.91              6.84          0.85% , 1.19         1479.68 , 998.00           199.92 , 183.00            1724.39 , 1851.00      498.6
   28.93              6.78          0.86% , 1.09         1497.09 , 998.00           183.12 , 183.00            1725.59 , 1851.00     499.21
   28.94             12.64          0.82% , 0.86         1427.46 , 998.00           144.48 , 183.00            1616.95 , 1851.00     467.98
   28.96              8.29          0.85% , 1.03         1479.68 , 998.00           173.04 , 183.00            1697.51 , 1851.00     491.64
   28.99             14.16          0.81% , 0.80         1410.05 , 998.00           134.40 , 183.00            1588.87 , 1851.00     460.65
   28.99              9.76          0.84% , 0.97         1462.27 , 998.00           162.96 , 183.00            1670.43 , 1851.00     484.31
    29.0              6.68          0.86% , 1.10         1497.09 , 998.00           184.80 , 183.00            1727.27 , 1851.00     500.89
   29.04             11.27          0.83% , 0.91         1444.86 , 998.00           152.88 , 183.00            1642.35 , 1851.00     476.98
   29.04              6.87          0.86% , 1.08         1497.09 , 998.00           181.44 , 183.00            1723.91 , 1851.00     500.65
   29.07              6.59          0.86% , 1.11         1497.09 , 998.00           186.48 , 183.00            1728.95 , 1851.00     502.57
   29.08             12.74          0.82% , 0.85         1427.46 , 998.00           142.80 , 183.00            1615.27 , 1851.00     469.66
   29.09              8.38          0.85% , 1.02         1479.68 , 998.00           171.36 , 183.00            1695.83 , 1851.00     493.32
   29.12              9.85          0.84% , 0.96         1462.27 , 998.00           161.28 , 183.00            1668.75 , 1851.00     485.99
   29.14               6.5          0.86% , 1.12         1497.09 , 998.00           188.16 , 183.00            1730.63 , 1851.00     504.25
   29.17             11.36          0.83% , 0.90         1444.86 , 998.00           151.20 , 183.00            1640.67 , 1851.00     478.66
   29.17              6.96          0.86% , 1.07         1497.09 , 998.00           179.76 , 183.00            1722.23 , 1851.00     502.33
   29.21             12.83          0.82% , 0.84         1427.46 , 998.00           141.12 , 183.00            1613.59 , 1851.00     471.34
   29.21              6.41          0.86% , 1.13         1497.09 , 998.00           189.84 , 183.00            1732.31 , 1851.00     505.93
   29.22              8.47          0.85% , 1.01         1479.68 , 998.00           169.68 , 183.00            1694.15 , 1851.00      495.0
   29.25              9.94          0.84% , 0.95         1462.27 , 998.00           159.60 , 183.00            1667.07 , 1851.00     487.67
   29.27              6.32          0.86% , 1.14         1497.09 , 998.00           191.52 , 183.00            1733.99 , 1851.00     507.61
   29.29              7.05          0.86% , 1.06         1497.09 , 998.00           178.08 , 183.00            1720.55 , 1851.00     504.01
   29.31             11.45          0.83% , 0.89         1444.86 , 998.00           149.52 , 183.00            1638.99 , 1851.00     480.34
   29.34              6.23          0.86% , 1.15         1497.09 , 998.00           193.20 , 183.00            1735.67 , 1851.00     509.29
   29.35             12.92          0.82% , 0.83         1427.46 , 998.00           139.44 , 183.00            1611.91 , 1851.00     473.02
   29.35              8.56          0.85% , 1.00         1479.68 , 998.00           168.00 , 183.00            1692.47 , 1851.00     496.68
   29.38             10.03          0.84% , 0.94         1462.27 , 998.00           157.92 , 183.00            1665.39 , 1851.00     489.35
   29.41              6.14          0.86% , 1.16         1497.09 , 998.00           194.88 , 183.00            1737.35 , 1851.00     510.97
   29.42              7.14          0.86% , 1.05         1497.09 , 998.00           176.40 , 183.00            1718.87 , 1851.00     505.69
   29.44             11.54          0.83% , 0.88         1444.86 , 998.00           147.84 , 183.00            1637.31 , 1851.00     482.02
   29.48             13.01          0.82% , 0.82         1427.46 , 998.00           137.76 , 183.00            1610.23 , 1851.00      474.7
   29.48              8.66          0.85% , 0.99         1479.68 , 998.00           166.32 , 183.00            1690.79 , 1851.00     498.36
   29.48              6.05          0.86% , 1.17         1497.09 , 998.00           196.56 , 183.00            1739.03 , 1851.00     512.65
   29.51             10.12          0.84% , 0.93         1462.27 , 998.00           156.24 , 183.00            1663.71 , 1851.00     491.03
   29.55              7.23          0.86% , 1.04         1497.09 , 998.00           174.72 , 183.00            1717.19 , 1851.00     507.37
   29.55              5.96          0.86% , 1.18         1497.09 , 998.00           198.24 , 183.00            1740.71 , 1851.00     514.33
   29.57             11.64          0.83% , 0.87         1444.86 , 998.00           146.16 , 183.00            1635.63 , 1851.00      483.7
    29.6              8.75          0.85% , 0.98         1479.68 , 998.00           164.64 , 183.00            1689.11 , 1851.00     500.04
   29.61              5.87          0.86% , 1.19         1497.09 , 998.00           199.92 , 183.00            1742.39 , 1851.00     516.01
   29.62              13.1          0.82% , 0.81         1427.46 , 998.00           136.08 , 183.00            1608.55 , 1851.00     476.38
   29.65             10.21          0.84% , 0.92         1462.27 , 998.00           154.56 , 183.00            1662.03 , 1851.00     492.71
   29.65              5.86          0.87% , 1.09         1514.50 , 998.00           183.12 , 183.00            1742.59 , 1851.00     516.62
   29.67              7.32          0.86% , 1.03         1497.09 , 998.00           173.04 , 183.00            1715.51 , 1851.00     509.05
   29.71             11.73          0.83% , 0.86         1444.86 , 998.00           144.48 , 183.00            1633.95 , 1851.00     485.38
   29.71              5.77          0.87% , 1.10         1514.50 , 998.00           184.80 , 183.00            1744.27 , 1851.00      518.3
   29.73              8.84          0.85% , 0.97         1479.68 , 998.00           162.96 , 183.00            1687.43 , 1851.00     501.72
   29.75             13.19          0.82% , 0.80         1427.46 , 998.00           134.40 , 183.00            1606.87 , 1851.00     478.06
   29.76              5.95          0.87% , 1.08         1514.50 , 998.00           181.44 , 183.00            1740.91 , 1851.00     518.06
   29.78              10.3          0.84% , 0.91         1462.27 , 998.00           152.88 , 183.00            1660.35 , 1851.00     494.39
   29.78              5.68          0.87% , 1.11         1514.50 , 998.00           186.48 , 183.00            1745.95 , 1851.00     519.98
    29.8              7.41          0.86% , 1.02         1497.09 , 998.00           171.36 , 183.00            1713.83 , 1851.00     510.73
   29.84             11.82          0.83% , 0.85         1444.86 , 998.00           142.80 , 183.00            1632.27 , 1851.00     487.06
   29.85              5.58          0.87% , 1.12         1514.50 , 998.00           188.16 , 183.00            1747.63 , 1851.00     521.66
   29.86              8.93          0.85% , 0.96         1479.68 , 998.00           161.28 , 183.00            1685.75 , 1851.00      503.4
   29.88              6.04          0.87% , 1.07         1514.50 , 998.00           179.76 , 183.00            1739.23 , 1851.00     519.74
   29.91             10.39          0.84% , 0.90         1462.27 , 998.00           151.20 , 183.00            1658.67 , 1851.00     496.07
   29.92              5.49          0.87% , 1.13         1514.50 , 998.00           189.84 , 183.00            1749.31 , 1851.00     523.34
   29.93               7.5          0.86% , 1.01         1497.09 , 998.00           169.68 , 183.00            1712.15 , 1851.00     512.41
   29.97             11.91          0.83% , 0.84         1444.86 , 998.00           141.12 , 183.00            1630.59 , 1851.00     488.74
   29.98               5.4          0.87% , 1.14         1514.50 , 998.00           191.52 , 183.00            1750.99 , 1851.00     525.02
   29.99              9.02          0.85% , 0.95         1479.68 , 998.00           159.60 , 183.00            1684.07 , 1851.00     505.08
   30.01              6.13          0.87% , 1.06         1514.50 , 998.00           178.08 , 183.00            1737.55 , 1851.00     521.42
   30.04             10.48          0.84% , 0.89         1462.27 , 998.00           149.52 , 183.00            1656.99 , 1851.00     497.75
   30.05              5.31          0.87% , 1.15         1514.50 , 998.00           193.20 , 183.00            1752.67 , 1851.00      526.7
   30.06              7.59          0.86% , 1.00         1497.09 , 998.00           168.00 , 183.00            1710.47 , 1851.00     514.09
   30.11              12.0          0.83% , 0.83         1444.86 , 998.00           139.44 , 183.00            1628.91 , 1851.00     490.42
   30.12              9.11          0.85% , 0.94         1479.68 , 998.00           157.92 , 183.00            1682.39 , 1851.00     506.76
