Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    2.58              5.32          0.96% , 1.09          835.58 , 809.00           183.12 , 184.00            1066.09 , 1126.00      27.46
    2.59              6.87          0.95% , 1.04          826.88 , 809.00           174.72 , 184.00            1048.69 , 1126.00      27.16
     2.6              9.79          0.90% , 1.10          783.36 , 809.00           184.80 , 184.00            1015.77 , 1126.00      26.44
     2.6              8.32          0.94% , 0.99          818.18 , 809.00           166.32 , 184.00            1032.29 , 1126.00      26.86
    2.62              9.94          0.90% , 1.09          783.36 , 809.00           183.12 , 184.00            1014.09 , 1126.00      26.52
    2.62              9.87          0.93% , 0.94          809.47 , 809.00           157.92 , 184.00            1014.89 , 1126.00      26.55
    2.69               8.1          0.91% , 1.16          792.06 , 809.00           194.88 , 184.00            1034.85 , 1126.00      27.82
    2.69              5.08          0.95% , 1.16          826.88 , 809.00           194.88 , 184.00            1068.85 , 1126.00      28.76
    2.72             10.07          0.92% , 0.98          800.77 , 809.00           164.64 , 184.00            1012.61 , 1126.00      27.59
    2.72              5.02          0.96% , 1.11          835.58 , 809.00           186.48 , 184.00            1069.45 , 1126.00      29.06
    2.74              5.47          0.96% , 1.08          835.58 , 809.00           181.44 , 184.00            1064.41 , 1126.00      29.14
    2.75             10.03          0.91% , 1.03          792.06 , 809.00           173.04 , 184.00            1013.01 , 1126.00       27.9
    2.75              7.02          0.95% , 1.03          826.88 , 809.00           173.04 , 184.00            1047.01 , 1126.00      28.84
    2.76              9.64          0.90% , 1.11          783.36 , 809.00           186.48 , 184.00            1017.45 , 1126.00      28.12
    2.77              8.47          0.94% , 0.98          818.18 , 809.00           164.64 , 184.00            1030.61 , 1126.00      28.54
    2.79             10.09          0.90% , 1.08          783.36 , 809.00           181.44 , 184.00            1012.41 , 1126.00       28.2
    2.79             10.02          0.93% , 0.93          809.47 , 809.00           156.24 , 184.00            1013.21 , 1126.00      28.23
    2.84              4.93          0.95% , 1.17          826.88 , 809.00           196.56 , 184.00            1070.53 , 1126.00      30.44
    2.85              7.95          0.91% , 1.17          792.06 , 809.00           196.56 , 184.00            1036.53 , 1126.00       29.5
    2.87              4.87          0.96% , 1.12          835.58 , 809.00           188.16 , 184.00            1071.13 , 1126.00      30.74
     2.9             10.22          0.92% , 0.97          800.77 , 809.00           162.96 , 184.00            1010.93 , 1126.00      29.27
     2.9              5.62          0.96% , 1.07          835.58 , 809.00           179.76 , 184.00            1062.73 , 1126.00      30.82
    2.92              9.49          0.90% , 1.12          783.36 , 809.00           188.16 , 184.00            1019.13 , 1126.00       29.8
    2.92             10.18          0.91% , 1.02          792.06 , 809.00           171.36 , 184.00            1011.33 , 1126.00      29.58
    2.92              7.16          0.95% , 1.02          826.88 , 809.00           171.36 , 184.00            1045.33 , 1126.00      30.52
    2.94              8.62          0.94% , 0.97          818.18 , 809.00           162.96 , 184.00            1028.93 , 1126.00      30.22
    2.96             10.24          0.90% , 1.07          783.36 , 809.00           179.76 , 184.00            1010.73 , 1126.00      29.88
    2.96             10.17          0.93% , 0.92          809.47 , 809.00           154.56 , 184.00            1011.53 , 1126.00      29.91
     3.0               7.8          0.91% , 1.18          792.06 , 809.00           198.24 , 184.00            1038.21 , 1126.00      31.18
     3.0              4.78          0.95% , 1.18          826.88 , 809.00           198.24 , 184.00            1072.21 , 1126.00      32.12
    3.02              4.72          0.96% , 1.13          835.58 , 809.00           189.84 , 184.00            1072.81 , 1126.00      32.42
    3.06              5.77          0.96% , 1.06          835.58 , 809.00           178.08 , 184.00            1061.05 , 1126.00       32.5
    3.07             10.37          0.92% , 0.96          800.77 , 809.00           161.28 , 184.00            1009.25 , 1126.00      30.95
    3.08              9.34          0.90% , 1.13          783.36 , 809.00           189.84 , 184.00            1020.81 , 1126.00      31.48
    3.09              7.31          0.95% , 1.01          826.88 , 809.00           169.68 , 184.00            1043.65 , 1126.00       32.2
     3.1             10.33          0.91% , 1.01          792.06 , 809.00           169.68 , 184.00            1009.65 , 1126.00      31.26
     3.1              8.77          0.94% , 0.96          818.18 , 809.00           161.28 , 184.00            1027.25 , 1126.00       31.9
    3.13             10.39          0.90% , 1.06          783.36 , 809.00           178.08 , 184.00            1009.05 , 1126.00      31.56
    3.13             10.32          0.93% , 0.91          809.47 , 809.00           152.88 , 184.00            1009.85 , 1126.00      31.59
