Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    2.26               7.5          0.95% , 1.05        1653.76 , 1638.00           705.60 , 667.00            2404.85 , 2237.00      54.36
    2.31              7.57          0.97% , 1.00        1688.58 , 1638.00           672.00 , 667.00            2406.25 , 2237.00      55.58
    2.33               5.6          0.96% , 0.96        1671.17 , 1638.00           645.12 , 667.00            2362.37 , 2237.00      55.05
    2.35              4.28          0.92% , 1.02        1601.54 , 1638.00           685.44 , 667.00            2332.69 , 2237.00       54.9
    2.37              2.63          0.93% , 0.94        1618.94 , 1638.00           631.68 , 667.00            2295.93 , 2237.00      54.38
    2.42              2.62          0.91% , 0.99        1584.13 , 1638.00           665.28 , 667.00            2295.53 , 2237.00      55.59
    2.42              7.71          0.96% , 1.03        1671.17 , 1638.00           692.16 , 667.00            2409.41 , 2237.00      58.33
    2.43              5.94          0.93% , 1.05        1618.94 , 1638.00           705.60 , 667.00            2369.85 , 2237.00      57.66
    2.47              6.97          0.97% , 0.98        1688.58 , 1638.00           658.56 , 667.00            2392.81 , 2237.00      59.02
    2.49              2.54          0.94% , 0.91        1636.35 , 1638.00           611.52 , 667.00            2293.77 , 2237.00      57.13
    2.49               3.9          0.95% , 0.93        1653.76 , 1638.00           624.96 , 667.00            2324.21 , 2237.00       57.8
    2.51              7.64          0.94% , 1.08        1636.35 , 1638.00           725.76 , 667.00            2408.01 , 2237.00      60.41
    2.53               7.8          0.95% , 1.06        1653.76 , 1638.00           712.32 , 667.00            2411.57 , 2237.00      61.08
    2.55              2.48          0.92% , 0.96        1601.54 , 1638.00           645.12 , 667.00            2292.37 , 2237.00      58.34
    2.56              2.92          0.91% , 1.00        1584.13 , 1638.00           672.00 , 667.00            2302.25 , 2237.00      58.87
    2.58              7.87          0.97% , 1.01        1688.58 , 1638.00           678.72 , 667.00            2412.97 , 2237.00       62.3
    2.62               5.3          0.96% , 0.95        1671.17 , 1638.00           638.40 , 667.00            2355.65 , 2237.00      61.77
    2.63              4.58          0.92% , 1.03        1601.54 , 1638.00           692.16 , 667.00            2339.41 , 2237.00      61.62
    2.67              2.33          0.93% , 0.93        1618.94 , 1638.00           624.96 , 667.00            2289.21 , 2237.00       61.1
    2.69              8.01          0.96% , 1.04        1671.17 , 1638.00           698.88 , 667.00            2416.13 , 2237.00      65.05
    2.71              6.24          0.93% , 1.06        1618.94 , 1638.00           712.32 , 667.00            2376.57 , 2237.00      64.38
    2.72              2.32          0.91% , 0.98        1584.13 , 1638.00           658.56 , 667.00            2288.81 , 2237.00      62.31
    2.75              6.66          0.97% , 0.97        1688.58 , 1638.00           651.84 , 667.00            2386.09 , 2237.00      65.74
    2.78              7.95          0.94% , 1.09        1636.35 , 1638.00           732.48 , 667.00            2414.73 , 2237.00      67.13
    2.78               3.6          0.95% , 0.92        1653.76 , 1638.00           618.24 , 667.00            2317.49 , 2237.00      64.52
    2.79              2.24          0.94% , 0.90        1636.35 , 1638.00           604.80 , 667.00            2287.05 , 2237.00      63.85
     2.8               8.1          0.95% , 1.07        1653.76 , 1638.00           719.04 , 667.00            2418.29 , 2237.00       67.8
    2.84              3.22          0.91% , 1.01        1584.13 , 1638.00           678.72 , 667.00            2308.97 , 2237.00      65.59
    2.85              2.17          0.92% , 0.95        1601.54 , 1638.00           638.40 , 667.00            2285.65 , 2237.00      65.06
    2.85              8.17          0.97% , 1.02        1688.58 , 1638.00           685.44 , 667.00            2419.69 , 2237.00      69.02
    2.88              8.03          0.98% , 0.99        1705.98 , 1638.00           665.28 , 667.00            2416.53 , 2237.00       69.7
    2.91              4.88          0.92% , 1.04        1601.54 , 1638.00           698.88 , 667.00            2346.13 , 2237.00      68.34
    2.92               5.0          0.96% , 0.94        1671.17 , 1638.00           631.68 , 667.00            2348.93 , 2237.00      68.49
    2.96              8.31          0.96% , 1.05        1671.17 , 1638.00           705.60 , 667.00            2422.85 , 2237.00      71.77
    2.97              2.03          0.93% , 0.92        1618.94 , 1638.00           618.24 , 667.00            2282.49 , 2237.00      67.82
    2.98              6.54          0.93% , 1.07        1618.94 , 1638.00           719.04 , 667.00            2383.29 , 2237.00       71.1
    3.01              8.33          0.98% , 1.00        1705.98 , 1638.00           672.00 , 667.00            2423.25 , 2237.00      72.98
    3.02              2.02          0.91% , 0.97        1584.13 , 1638.00           651.84 , 667.00            2282.09 , 2237.00      69.03
    3.05              8.25          0.94% , 1.10        1636.35 , 1638.00           739.20 , 667.00            2421.45 , 2237.00      73.85
    3.05              6.36          0.97% , 0.96        1688.58 , 1638.00           645.12 , 667.00            2379.37 , 2237.00      72.46
    3.07               8.4          0.95% , 1.08        1653.76 , 1638.00           725.76 , 667.00            2425.01 , 2237.00      74.52
    3.08               3.3          0.95% , 0.91        1653.76 , 1638.00           611.52 , 667.00            2310.77 , 2237.00      71.24
    3.09              1.94          0.94% , 0.89        1636.35 , 1638.00           598.08 , 667.00            2280.33 , 2237.00      70.57
    3.12              3.52          0.91% , 1.02        1584.13 , 1638.00           685.44 , 667.00            2315.69 , 2237.00      72.31
    3.12              8.47          0.97% , 1.03        1688.58 , 1638.00           692.16 , 667.00            2426.41 , 2237.00      75.74
    3.15              1.87          0.92% , 0.94        1601.54 , 1638.00           631.68 , 667.00            2278.93 , 2237.00      71.78
    3.17              7.73          0.98% , 0.98        1705.98 , 1638.00           658.56 , 667.00            2409.81 , 2237.00      76.42
    3.19              5.18          0.92% , 1.05        1601.54 , 1638.00           705.60 , 667.00            2352.85 , 2237.00      75.06
    3.21              1.81          0.90% , 0.99        1566.72 , 1638.00           665.28 , 667.00            2277.53 , 2237.00       73.0
    3.21               4.7          0.96% , 0.93        1671.17 , 1638.00           624.96 , 667.00            2342.21 , 2237.00      75.21
    3.23              8.61          0.96% , 1.06        1671.17 , 1638.00           712.32 , 667.00            2429.57 , 2237.00      78.49
    3.26              6.84          0.93% , 1.08        1618.94 , 1638.00           725.76 , 667.00            2390.01 , 2237.00      77.82
    3.28              1.73          0.93% , 0.91        1618.94 , 1638.00           611.52 , 667.00            2275.77 , 2237.00      74.54
    3.28              8.63          0.98% , 1.01        1705.98 , 1638.00           678.72 , 667.00            2429.97 , 2237.00       79.7
    3.32              8.55          0.94% , 1.11        1636.35 , 1638.00           745.92 , 667.00            2428.17 , 2237.00      80.57
    3.33              1.72          0.91% , 0.96        1584.13 , 1638.00           645.12 , 667.00            2275.37 , 2237.00      75.75
    3.34              2.11          0.90% , 1.00        1566.72 , 1638.00           672.00 , 667.00            2284.25 , 2237.00      76.28
    3.34              8.71          0.95% , 1.09        1653.76 , 1638.00           732.48 , 667.00            2431.73 , 2237.00      81.24
    3.34              6.06          0.97% , 0.95        1688.58 , 1638.00           638.40 , 667.00            2372.65 , 2237.00      79.18
    3.38               3.0          0.95% , 0.90        1653.76 , 1638.00           604.80 , 667.00            2304.05 , 2237.00      77.96
    3.39              8.77          0.97% , 1.04        1688.58 , 1638.00           698.88 , 667.00            2433.13 , 2237.00      82.46
     3.4              3.82          0.91% , 1.03        1584.13 , 1638.00           692.16 , 667.00            2322.41 , 2237.00      79.03
     3.4              1.64          0.94% , 0.88        1636.35 , 1638.00           591.36 , 667.00            2273.61 , 2237.00      77.29
    3.45              1.57          0.92% , 0.93        1601.54 , 1638.00           624.96 , 667.00            2272.21 , 2237.00       78.5
    3.46              7.42          0.98% , 0.97        1705.98 , 1638.00           651.84 , 667.00            2403.09 , 2237.00      83.14
    3.47              5.48          0.92% , 1.06        1601.54 , 1638.00           712.32 , 667.00            2359.57 , 2237.00      81.78
     3.5              8.91          0.96% , 1.07        1671.17 , 1638.00           719.04 , 667.00            2436.29 , 2237.00      85.21
    3.51              1.51          0.90% , 0.98        1566.72 , 1638.00           658.56 , 667.00            2270.81 , 2237.00      79.72
    3.51               4.4          0.96% , 0.92        1671.17 , 1638.00           618.24 , 667.00            2335.49 , 2237.00      81.93
    3.53              7.14          0.93% , 1.09        1618.94 , 1638.00           732.48 , 667.00            2396.73 , 2237.00      84.54
    3.55              8.93          0.98% , 1.02        1705.98 , 1638.00           685.44 , 667.00            2436.69 , 2237.00      86.42
    3.58              1.43          0.93% , 0.90        1618.94 , 1638.00           604.80 , 667.00            2269.05 , 2237.00      81.26
    3.58              8.85          0.94% , 1.12        1636.35 , 1638.00           752.64 , 667.00            2434.89 , 2237.00      87.29
    3.58              8.83          0.99% , 0.99        1723.39 , 1638.00           665.28 , 667.00            2434.53 , 2237.00      87.11
    3.61              9.01          0.95% , 1.10        1653.76 , 1638.00           739.20 , 667.00            2438.45 , 2237.00      87.96
    3.62              2.41          0.90% , 1.01        1566.72 , 1638.00           678.72 , 667.00            2290.97 , 2237.00       83.0
    3.63              5.76          0.97% , 0.94        1688.58 , 1638.00           631.68 , 667.00            2365.93 , 2237.00       85.9
    3.64              1.42          0.91% , 0.95        1584.13 , 1638.00           638.40 , 667.00            2268.65 , 2237.00      82.47
    3.65              9.07          0.97% , 1.05        1688.58 , 1638.00           705.60 , 667.00            2439.85 , 2237.00      89.18
    3.68              4.12          0.91% , 1.04        1584.13 , 1638.00           698.88 , 667.00            2329.13 , 2237.00      85.75
    3.69               2.7          0.95% , 0.89        1653.76 , 1638.00           598.08 , 667.00            2297.33 , 2237.00      84.68
     3.7              9.13          0.99% , 1.00        1723.39 , 1638.00           672.00 , 667.00            2441.25 , 2237.00      90.39
    3.71              1.34          0.94% , 0.87        1636.35 , 1638.00           584.64 , 667.00            2266.89 , 2237.00      84.01
    3.74              5.78          0.92% , 1.07        1601.54 , 1638.00           719.04 , 667.00            2366.29 , 2237.00       88.5
    3.75              7.12          0.98% , 0.96        1705.98 , 1638.00           645.12 , 667.00            2396.37 , 2237.00      89.86
    3.76              1.27          0.92% , 0.92        1601.54 , 1638.00           618.24 , 667.00            2265.49 , 2237.00      85.22
    3.76              9.21          0.96% , 1.08        1671.17 , 1638.00           725.76 , 667.00            2443.01 , 2237.00      91.93
     3.8              7.44          0.93% , 1.10        1618.94 , 1638.00           739.20 , 667.00            2403.45 , 2237.00      91.26
    3.81               4.1          0.96% , 0.91        1671.17 , 1638.00           611.52 , 667.00            2328.77 , 2237.00      88.65
    3.81              9.23          0.98% , 1.03        1705.98 , 1638.00           692.16 , 667.00            2443.41 , 2237.00      93.14
    3.82              1.21          0.90% , 0.97        1566.72 , 1638.00           651.84 , 667.00            2264.09 , 2237.00      86.44
    3.85              9.15          0.94% , 1.13        1636.35 , 1638.00           759.36 , 667.00            2441.61 , 2237.00      94.01
    3.86              8.53          0.99% , 0.98        1723.39 , 1638.00           658.56 , 667.00            2427.81 , 2237.00      93.83
    3.87              9.31          0.95% , 1.11        1653.76 , 1638.00           745.92 , 667.00            2445.17 , 2237.00      94.68
    3.89              1.13          0.93% , 0.89        1618.94 , 1638.00           598.08 , 667.00            2262.33 , 2237.00      87.98
     3.9              2.71          0.90% , 1.02        1566.72 , 1638.00           685.44 , 667.00            2297.69 , 2237.00      89.72
    3.92              9.37          0.97% , 1.06        1688.58 , 1638.00           712.32 , 667.00            2446.57 , 2237.00       95.9
    3.93              5.46          0.97% , 0.93        1688.58 , 1638.00           624.96 , 667.00            2359.21 , 2237.00      92.62
    3.94              1.11          0.91% , 0.94        1584.13 , 1638.00           631.68 , 667.00            2261.93 , 2237.00      89.19
    3.96              4.42          0.91% , 1.05        1584.13 , 1638.00           705.60 , 667.00            2335.85 , 2237.00      92.47
    3.97              9.43          0.99% , 1.01        1723.39 , 1638.00           678.72 , 667.00            2447.97 , 2237.00      97.11
    3.99               2.4          0.95% , 0.88        1653.76 , 1638.00           591.36 , 667.00            2290.61 , 2237.00       91.4
     4.0              1.05          0.89% , 0.99        1549.31 , 1638.00           665.28 , 667.00            2260.53 , 2237.00      90.41
    4.01              6.08          0.92% , 1.08        1601.54 , 1638.00           725.76 , 667.00            2373.01 , 2237.00      95.22
    4.01              1.04          0.94% , 0.86        1636.35 , 1638.00           577.92 , 667.00            2260.17 , 2237.00      90.73
    4.03              9.51          0.96% , 1.09        1671.17 , 1638.00           732.48 , 667.00            2449.73 , 2237.00      98.65
    4.04              6.82          0.98% , 0.95        1705.98 , 1638.00           638.40 , 667.00            2389.65 , 2237.00      96.58
    4.07              0.97          0.92% , 0.91        1601.54 , 1638.00           611.52 , 667.00            2258.77 , 2237.00      91.94
    4.07              7.74          0.93% , 1.11        1618.94 , 1638.00           745.92 , 667.00            2410.17 , 2237.00      97.98
    4.08              9.53          0.98% , 1.04        1705.98 , 1638.00           698.88 , 667.00            2450.13 , 2237.00      99.86
    4.11              9.45          0.94% , 1.14        1636.35 , 1638.00           766.08 , 667.00            2448.33 , 2237.00     100.73
    4.11               3.8          0.96% , 0.90        1671.17 , 1638.00           604.80 , 667.00            2322.05 , 2237.00      95.37
    4.13              1.35          0.89% , 1.00        1549.31 , 1638.00           672.00 , 667.00            2267.25 , 2237.00      93.69
    4.13              0.91          0.90% , 0.96        1566.72 , 1638.00           645.12 , 667.00            2257.37 , 2237.00      93.16
    4.14              9.61          0.95% , 1.12        1653.76 , 1638.00           752.64 , 667.00            2451.89 , 2237.00      101.4
    4.15              8.23          0.99% , 0.97        1723.39 , 1638.00           651.84 , 667.00            2421.09 , 2237.00     100.55
    4.18              9.67          0.97% , 1.07        1688.58 , 1638.00           719.04 , 667.00            2453.29 , 2237.00     102.62
    4.19              3.01          0.90% , 1.03        1566.72 , 1638.00           692.16 , 667.00            2304.41 , 2237.00      96.44
     4.2              0.83          0.93% , 0.88        1618.94 , 1638.00           591.36 , 667.00            2255.61 , 2237.00       94.7
    4.22              5.16          0.97% , 0.92        1688.58 , 1638.00           618.24 , 667.00            2352.49 , 2237.00      99.34
    4.23              4.72          0.91% , 1.06        1584.13 , 1638.00           712.32 , 667.00            2342.57 , 2237.00      99.19
    4.23              9.73          0.99% , 1.02        1723.39 , 1638.00           685.44 , 667.00            2454.69 , 2237.00     103.83
    4.25              0.81          0.91% , 0.93        1584.13 , 1638.00           624.96 , 667.00            2255.21 , 2237.00      95.91
    4.26              9.59          1.00% , 0.99        1740.80 , 1638.00           665.28 , 667.00            2451.53 , 2237.00     104.52
    4.28              6.38          0.92% , 1.09        1601.54 , 1638.00           732.48 , 667.00            2379.73 , 2237.00     101.94
    4.29              9.81          0.96% , 1.10        1671.17 , 1638.00           739.20 , 667.00            2456.45 , 2237.00     105.37
     4.3               2.1          0.95% , 0.87        1653.76 , 1638.00           584.64 , 667.00            2283.89 , 2237.00      98.12
    4.31              0.75          0.89% , 0.98        1549.31 , 1638.00           658.56 , 667.00            2253.81 , 2237.00      97.13
    4.32              0.74          0.94% , 0.85        1636.35 , 1638.00           571.20 , 667.00            2253.45 , 2237.00      97.45
    4.33              8.04          0.93% , 1.12        1618.94 , 1638.00           752.64 , 667.00            2416.89 , 2237.00      104.7
    4.34              6.52          0.98% , 0.94        1705.98 , 1638.00           631.68 , 667.00            2382.93 , 2237.00      103.3
    4.34              9.83          0.98% , 1.05        1705.98 , 1638.00           705.60 , 667.00            2456.85 , 2237.00     106.58
    4.38              0.67          0.92% , 0.90        1601.54 , 1638.00           604.80 , 667.00            2252.05 , 2237.00      98.66
    4.38              9.75          0.94% , 1.15        1636.35 , 1638.00           772.80 , 667.00            2455.05 , 2237.00     107.45
    4.39              9.89          1.00% , 1.00        1740.80 , 1638.00           672.00 , 667.00            2458.25 , 2237.00      107.8
     4.4              9.91          0.95% , 1.13        1653.76 , 1638.00           759.36 , 667.00            2458.61 , 2237.00     108.12
    4.41               3.5          0.96% , 0.89        1671.17 , 1638.00           598.08 , 667.00            2315.33 , 2237.00     102.09
    4.42              1.65          0.89% , 1.01        1549.31 , 1638.00           678.72 , 667.00            2273.97 , 2237.00     100.41
    4.44              0.61          0.90% , 0.95        1566.72 , 1638.00           638.40 , 667.00            2250.65 , 2237.00      99.88
    4.44              9.97          0.97% , 1.08        1688.58 , 1638.00           725.76 , 667.00            2460.01 , 2237.00     109.34
    4.44              7.93          0.99% , 0.96        1723.39 , 1638.00           645.12 , 667.00            2414.37 , 2237.00     107.27
    4.46              3.31          0.90% , 1.04        1566.72 , 1638.00           698.88 , 667.00            2311.13 , 2237.00     103.16
    4.49             10.03          0.99% , 1.03        1723.39 , 1638.00           692.16 , 667.00            2461.41 , 2237.00     110.55
    4.51              5.02          0.91% , 1.07        1584.13 , 1638.00           719.04 , 667.00            2349.29 , 2237.00     105.91
    4.51              0.53          0.93% , 0.87        1618.94 , 1638.00           584.64 , 667.00            2248.89 , 2237.00     101.42
    4.52              4.86          0.97% , 0.91        1688.58 , 1638.00           611.52 , 667.00            2345.77 , 2237.00     106.06
    4.55              6.68          0.92% , 1.10        1601.54 , 1638.00           739.20 , 667.00            2386.45 , 2237.00     108.66
    4.55             10.11          0.96% , 1.11        1671.17 , 1638.00           745.92 , 667.00            2463.17 , 2237.00     112.09
    4.55              9.29          1.00% , 0.98        1740.80 , 1638.00           658.56 , 667.00            2444.81 , 2237.00     111.24
    4.56              0.51          0.91% , 0.92        1584.13 , 1638.00           618.24 , 667.00            2248.49 , 2237.00     102.63
     4.6              8.34          0.93% , 1.13        1618.94 , 1638.00           759.36 , 667.00            2423.61 , 2237.00     111.42
     4.6               1.8          0.95% , 0.86        1653.76 , 1638.00           577.92 , 667.00            2277.17 , 2237.00     104.84
     4.6             10.13          0.98% , 1.06        1705.98 , 1638.00           712.32 , 667.00            2463.57 , 2237.00      113.3
    4.62              0.45          0.89% , 0.97        1549.31 , 1638.00           651.84 , 667.00            2247.09 , 2237.00     103.85
    4.63              6.22          0.98% , 0.93        1705.98 , 1638.00           624.96 , 667.00            2376.21 , 2237.00     110.02
    4.64              0.44          0.94% , 0.84        1636.35 , 1638.00           564.48 , 667.00            2246.73 , 2237.00     104.17
    4.64             10.05          0.94% , 1.16        1636.35 , 1638.00           779.52 , 667.00            2461.77 , 2237.00     114.17
    4.65             10.19          1.00% , 1.01        1740.80 , 1638.00           678.72 , 667.00            2464.97 , 2237.00     114.52
    4.66             10.21          0.95% , 1.14        1653.76 , 1638.00           766.08 , 667.00            2465.33 , 2237.00     114.84
    4.69              0.37          0.92% , 0.89        1601.54 , 1638.00           598.08 , 667.00            2245.33 , 2237.00     105.38
     4.7              1.95          0.89% , 1.02        1549.31 , 1638.00           685.44 , 667.00            2280.69 , 2237.00     107.13
     4.7             10.27          0.97% , 1.09        1688.58 , 1638.00           732.48 , 667.00            2466.73 , 2237.00     116.06
    4.71               3.2          0.96% , 0.88        1671.17 , 1638.00           591.36 , 667.00            2308.61 , 2237.00     108.81
    4.73              7.63          0.99% , 0.95        1723.39 , 1638.00           638.40 , 667.00            2407.65 , 2237.00     113.99
    4.74              3.61          0.90% , 1.05        1566.72 , 1638.00           705.60 , 667.00            2317.85 , 2237.00     109.88
    4.75              0.31          0.90% , 0.94        1566.72 , 1638.00           631.68 , 667.00            2243.93 , 2237.00      106.6
    4.75             10.33          0.99% , 1.04        1723.39 , 1638.00           698.88 , 667.00            2468.13 , 2237.00     117.27
    4.78              5.32          0.91% , 1.08        1584.13 , 1638.00           725.76 , 667.00            2356.01 , 2237.00     112.63
    4.81              0.25          0.88% , 0.99        1531.90 , 1638.00           665.28 , 667.00            2242.53 , 2237.00     107.82
    4.81             10.41          0.96% , 1.12        1671.17 , 1638.00           752.64 , 667.00            2469.89 , 2237.00     118.81
    4.82              6.98          0.92% , 1.11        1601.54 , 1638.00           745.92 , 667.00            2393.17 , 2237.00     115.38
    4.82              0.23          0.93% , 0.86        1618.94 , 1638.00           577.92 , 667.00            2242.17 , 2237.00     108.14
    4.82              4.56          0.97% , 0.90        1688.58 , 1638.00           604.80 , 667.00            2339.05 , 2237.00     112.78
    4.84              8.99          1.00% , 0.97        1740.80 , 1638.00           651.84 , 667.00            2438.09 , 2237.00     117.96
    4.86              8.64          0.93% , 1.14        1618.94 , 1638.00           766.08 , 667.00            2430.33 , 2237.00     118.14
    4.86             10.43          0.98% , 1.07        1705.98 , 1638.00           719.04 , 667.00            2470.29 , 2237.00     120.02
    4.88              0.21          0.91% , 0.91        1584.13 , 1638.00           611.52 , 667.00            2241.77 , 2237.00     109.35
     4.9             10.35          0.94% , 1.17        1636.35 , 1638.00           786.24 , 667.00            2468.49 , 2237.00     120.89
    4.91               1.5          0.95% , 0.85        1653.76 , 1638.00           571.20 , 667.00            2270.45 , 2237.00     111.56
    4.91             10.49          1.00% , 1.02        1740.80 , 1638.00           685.44 , 667.00            2471.69 , 2237.00     121.24
    4.92             10.51          0.95% , 1.15        1653.76 , 1638.00           772.80 , 667.00            2472.05 , 2237.00     121.56
    4.93              5.92          0.98% , 0.92        1705.98 , 1638.00           618.24 , 667.00            2369.49 , 2237.00     116.74
    4.94              0.55          0.88% , 1.00        1531.90 , 1638.00           672.00 , 667.00            2249.25 , 2237.00      111.1
    4.94              0.15          0.89% , 0.96        1549.31 , 1638.00           645.12 , 667.00            2240.37 , 2237.00     110.57
    4.94             10.39          1.01% , 0.99        1758.21 , 1638.00           665.28 , 667.00            2469.53 , 2237.00     121.93
    4.95              0.13          0.94% , 0.83        1636.35 , 1638.00           557.76 , 667.00            2240.01 , 2237.00     110.89
    4.96             10.57          0.97% , 1.10        1688.58 , 1638.00           739.20 , 667.00            2473.45 , 2237.00     122.78
    4.98              2.25          0.89% , 1.03        1549.31 , 1638.00           692.16 , 667.00            2287.41 , 2237.00     113.85
    5.01              0.07          0.92% , 0.88        1601.54 , 1638.00           591.36 , 667.00            2238.61 , 2237.00      112.1
    5.01             10.63          0.99% , 1.05        1723.39 , 1638.00           705.60 , 667.00            2474.85 , 2237.00     123.99
    5.02              3.91          0.90% , 1.06        1566.72 , 1638.00           712.32 , 667.00            2324.57 , 2237.00      116.6
